"",BBK01.OEAF15S,BBK01.OEAF15S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:54,
2002-01,0.363,
2002-04,0.377,
2002-07,0.397,
2002-10,0.381,
2003-01,0.383,
2003-04,0.394,
2003-07,0.403,
2003-10,0.388,
2004-01,0.357,
2004-04,0.371,
2004-07,0.379,
2004-10,0.374,
2005-01,0.371,
2005-04,0.393,
2005-07,0.404,
2005-10,0.381,
2006-01,0.370,
2006-04,0.371,
2006-07,0.364,
2006-10,0.355,
2007-01,0.331,
2007-04,0.337,
2007-07,0.337,
2007-10,0.332,
2008-01,0.315,
2008-04,0.322,
2008-07,0.330,
2008-10,0.316,
2009-01,0.306,
2009-04,0.309,
2009-07,0.326,
2009-10,0.316,
2010-01,0.310,
2010-04,0.312,
2010-07,0.394,
2010-10,0.305,
2011-01,0.304,
2011-04,0.307,
2011-07,0.313,
2011-10,0.303,
2012-01,0.296,
2012-04,0.288,
2012-07,0.240,
2012-10,0.237,
2013-01,0.231,
2013-04,0.227,
2013-07,0.243,
2013-10,0.233,
2014-01,0.228,
2014-04,0.228,
2014-07,0.229,
