"",BBK01.OEBI06N,BBK01.OEBI06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:48,
2002-01,2.155,
2002-04,2.122,
2002-07,1.940,
2002-10,1.550,
2003-01,1.439,
2003-04,1.411,
2003-07,1.358,
2003-10,1.359,
2004-01,1.480,
2004-04,1.489,
2004-07,1.447,
2004-10,1.431,
2005-01,1.578,
2005-04,1.579,
2005-07,1.623,
2005-10,1.566,
2006-01,1.557,
2006-04,1.601,
2006-07,1.760,
2006-10,1.787,
2007-01,1.790,
2007-04,1.844,
2007-07,1.847,
2007-10,2.081,
2008-01,2.352,
2008-04,2.654,
2008-07,2.807,
2008-10,3.141,
2009-01,3.603,
2009-04,3.182,
2009-07,2.852,
2009-10,2.825,
2010-01,3.367,
2010-04,4.157,
2010-07,4.522,
2010-10,4.862,
2011-01,5.189,
2011-04,5.882,
2011-07,6.271,
2011-10,6.262,
2012-01,6.660,
2012-04,7.059,
2012-07,7.502,
2012-10,7.390,
2013-01,6.901,
2013-04,6.376,
2013-07,6.353,
2013-10,6.302,
2014-01,6.196,
2014-04,5.892,
2014-07,5.316,
