"",BBFN1.M.DE.N.1.L.CH.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:15,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.530,
1995-01,3.430,
1995-02,3.372,
1995-03,3.445,
1995-04,3.080,
1995-05,3.119,
1995-06,3.138,
1995-07,3.078,
1995-08,3.156,
1995-09,3.130,
1995-10,3.064,
1995-11,3.200,
1995-12,3.094,
1996-01,2.938,
1996-02,2.951,
1996-03,2.986,
1996-04,2.997,
1996-05,3.066,
1996-06,3.240,
1996-07,3.195,
1996-08,3.027,
1996-09,3.179,
1996-10,3.149,
1996-11,3.223,
1996-12,3.324,
1997-01,3.074,
1997-02,3.086,
1997-03,3.231,
1997-04,3.302,
1997-05,3.223,
1997-06,3.291,
1997-07,3.417,
1997-08,3.279,
1997-09,3.503,
1997-10,3.632,
1997-11,3.624,
1997-12,3.720,
1998-01,3.566,
1998-02,3.576,
1998-03,3.664,
1998-04,3.625,
1998-05,3.609,
1998-06,3.662,
1998-07,3.491,
1998-08,3.541,
1998-09,3.771,
1998-10,3.814,
1998-11,3.749,
1998-12,3.811,
1999-01,3.766,
1999-02,3.709,
1999-03,3.916,
1999-04,3.902,
1999-05,3.751,
1999-06,3.826,
1999-07,3.871,
1999-08,3.852,
1999-09,3.899,
1999-10,3.942,
1999-11,3.841,
1999-12,4.206,
2000-01,4.065,
2000-02,4.034,
2000-03,4.280,
2000-04,4.197,
2000-05,3.706,
2000-06,3.848,
2000-07,3.784,
2000-08,3.826,
2000-09,4.042,
2000-10,4.019,
2000-11,4.123,
2000-12,4.109,
2001-01,4.130,
2001-02,4.115,
2001-03,4.293,
2001-04,4.239,
2001-05,4.134,
2001-06,4.329,
2001-07,4.250,
2001-08,4.267,
2001-09,4.193,
2001-10,4.330,
2001-11,4.386,
2001-12,4.526,
2002-01,4.113,
2002-02,4.185,
2002-03,4.177,
2002-04,4.283,
2002-05,3.944,
2002-06,4.034,
2002-07,4.015,
2002-08,3.714,
2002-09,3.879,
2002-10,3.866,
2002-11,4.077,
2002-12,3.994,
2003-01,4.056,
2003-02,4.059,
2003-03,4.091,
2003-04,3.866,
2003-05,3.814,
2003-06,4.036,
2003-07,3.962,
2003-08,4.335,
2003-09,4.334,
2003-10,4.387,
2003-11,4.182,
2003-12,4.181,
2004-01,4.141,
2004-02,4.230,
2004-03,4.721,
2004-04,4.224,
2004-05,4.395,
2004-06,4.667,
2004-07,4.394,
2004-08,4.419,
2004-09,4.872,
2004-10,4.844,
2004-11,4.731,
2004-12,4.713,
2005-01,4.446,
2005-02,4.556,
2005-03,4.809,
2005-04,4.752,
2005-05,4.759,
2005-06,5.295,
2005-07,5.269,
2005-08,5.244,
2005-09,5.258,
2005-10,5.514,
2005-11,5.624,
2005-12,6.191,
2006-01,5.815,
2006-02,5.854,
2006-03,6.135,
2006-04,6.389,
2006-05,6.220,
2006-06,6.445,
2006-07,6.120,
2006-08,5.675,
2006-09,6.111,
2006-10,6.066,
2006-11,6.575,
2006-12,6.567,
2007-01,6.277,
2007-02,6.487,
2007-03,6.543,
2007-04,6.300,
2007-05,6.458,
2007-06,6.730,
2007-07,6.639,
2007-08,6.388,
2007-09,6.765,
2007-10,6.908,
2007-11,7.071,
2007-12,7.382,
2008-01,6.756,
2008-02,7.366,
2008-03,7.338,
2008-04,7.487,
2008-05,7.168,
2008-06,6.572,
2008-07,7.147,
2008-08,6.548,
2008-09,6.561,
2008-10,6.798,
2008-11,6.144,
2008-12,5.507,
2009-01,5.374,
2009-02,5.249,
2009-03,5.421,
2009-04,5.633,
2009-05,5.594,
2009-06,6.000,
2009-07,6.203,
2009-08,5.802,
2009-09,6.334,
2009-10,6.804,
2009-11,6.828,
2009-12,6.367,
2010-01,5.870,
2010-02,6.264,
2010-03,6.958,
2010-04,6.603,
2010-05,6.731,
2010-06,7.074,
2010-07,7.246,
2010-08,6.976,
2010-09,7.633,
2010-10,7.724,
2010-11,7.751,
2010-12,8.067,
2011-01,7.436,
2011-02,7.439,
2011-03,7.928,
2011-04,8.083,
2011-05,8.835,
2011-06,8.409,
2011-07,9.130,
2011-08,8.690,
2011-09,9.345,
2011-10,9.413,
2011-11,9.292,
2011-12,9.685,
2012-01,8.949,
2012-02,9.343,
2012-03,9.999,
2012-04,9.292,
2012-05,8.748,
2012-06,8.306,
2012-07,9.304,
2012-08,8.280,
2012-09,8.775,
2012-10,9.645,
2012-11,9.188,
2012-12,9.002,
2013-01,8.703,
2013-02,8.864,
2013-03,8.969,
2013-04,8.452,
2013-05,8.097,
2013-06,8.553,
2013-07,7.968,
2013-08,8.546,
2013-09,9.066,
2013-10,9.795,
2013-11,9.231,
2013-12,9.370,
2014-01,8.751,
2014-02,8.860,
2014-03,8.970,
2014-04,8.808,
2014-05,9.017,
2014-06,9.032,
2014-07,9.337,
2014-08,8.986,
2014-09,9.840,
2014-10,9.743,
2014-11,9.863,
2014-12,9.308,
