"",BBK01.OEYB06Q,BBK01.OEYB06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:06,
2002-01,2.351,
2002-04,2.087,
2002-07,2.388,
2002-10,3.595,
2003-01,3.494,
2003-04,4.158,
2003-07,4.714,
2003-10,5.164,
2004-01,4.816,
2004-04,3.339,
2004-07,3.217,
2004-10,3.384,
2005-01,3.401,
2005-04,3.852,
2005-07,3.445,
2005-10,3.555,
2006-01,3.595,
2006-04,3.754,
2006-07,3.743,
2006-10,3.302,
2007-01,3.544,
2007-04,3.501,
2007-07,3.572,
2007-10,3.525,
2008-01,3.306,
2008-04,6.210,
2008-07,4.818,
2008-10,2.340,
2009-01,2.476,
2009-04,3.620,
2009-07,3.135,
2009-10,3.472,
2010-01,1.920,
2010-04,3.806,
2010-07,2.500,
2010-10,3.275,
2011-01,4.013,
2011-04,1.393,
2011-07,1.572,
2011-10,1.279,
2012-01,4.011,
2012-04,4.577,
2012-07,7.385,
2012-10,3.310,
2013-01,1.830,
2013-04,1.745,
2013-07,1.770,
2013-10,2.344,
2014-01,2.130,
2014-04,2.249,
2014-07,2.359,
