"",BBK01.OEXL09G,BBK01.OEXL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:39,
2002-01,1.765,
2002-04,1.608,
2002-07,1.599,
2002-10,1.510,
2003-01,1.389,
2003-04,1.291,
2003-07,1.162,
2003-10,1.112,
2004-01,1.060,
2004-04,1.033,
2004-07,1.005,
2004-10,1.102,
2005-01,0.802,
2005-04,0.788,
2005-07,0.544,
2005-10,0.517,
2006-01,0.526,
2006-04,0.587,
2006-07,0.687,
2006-10,0.786,
2007-01,1.110,
2007-04,1.260,
2007-07,1.352,
2007-10,1.523,
2008-01,1.571,
2008-04,1.639,
2008-07,1.716,
2008-10,2.410,
2009-01,2.307,
2009-04,2.270,
2009-07,2.247,
2009-10,1.782,
2010-01,1.453,
2010-04,1.409,
2010-07,1.354,
2010-10,1.718,
2011-01,2.001,
2011-04,2.061,
2011-07,2.012,
2011-10,1.887,
2012-01,1.740,
2012-04,1.795,
2012-07,1.671,
2012-10,1.438,
2013-01,1.159,
2013-04,0.904,
2013-07,0.845,
2013-10,0.795,
2014-01,0.937,
2014-04,0.894,
2014-07,0.923,
