"",BBK01.OECB07V,BBK01.OECB07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:21,
2002-01,0.343,
2002-04,0.363,
2002-07,0.339,
2002-10,0.361,
2003-01,0.363,
2003-04,0.361,
2003-07,0.363,
2003-10,0.346,
2004-01,0.362,
2004-04,0.438,
2004-07,0.440,
2004-10,0.313,
2005-01,0.347,
2005-04,0.333,
2005-07,0.263,
2005-10,0.274,
2006-01,0.265,
2006-04,0.281,
2006-07,0.310,
2006-10,0.361,
2007-01,0.355,
2007-04,0.354,
2007-07,0.343,
2007-10,0.440,
2008-01,0.506,
2008-04,0.529,
2008-07,0.555,
2008-10,0.533,
2009-01,0.523,
2009-04,0.700,
2009-07,0.660,
2009-10,0.580,
2010-01,0.461,
2010-04,0.468,
2010-07,0.396,
2010-10,0.378,
2011-01,0.371,
2011-04,0.376,
2011-07,0.395,
2011-10,0.402,
2012-01,0.399,
2012-04,0.359,
2012-07,0.371,
2012-10,0.378,
2013-01,0.389,
2013-04,0.400,
2013-07,0.371,
2013-10,0.408,
2014-01,0.385,
2014-04,0.382,
2014-07,0.350,
