"",BBK01.OEAH87O,BBK01.OEAH87O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:20,
2002-01,-9.551,
2002-04,-7.706,
2002-07,-7.259,
2002-10,-9.132,
2003-01,-5.264,
2003-04,-5.137,
2003-07,-6.143,
2003-10,-4.300,
2004-01,-3.487,
2004-04,-2.836,
2004-07,-2.226,
2004-10,-2.363,
2005-01,1.923,
2005-04,1.729,
2005-07,2.241,
2005-10,1.991,
2006-01,1.740,
2006-04,1.831,
2006-07,1.994,
2006-10,1.703,
2007-01,1.569,
2007-04,1.862,
2007-07,1.485,
2007-10,1.298,
2008-01,1.722,
2008-04,1.175,
2008-07,1.121,
2008-10,0.767,
2009-01,0.715,
2009-04,0.638,
2009-07,0.637,
2009-10,0.560,
2010-01,0.742,
2010-04,0.710,
2010-07,0.786,
2010-10,0.593,
2011-01,0.610,
2011-04,0.441,
2011-07,0.438,
2011-10,0.409,
2012-01,0.399,
2012-04,0.383,
2012-07,0.353,
2012-10,0.408,
2013-01,0.410,
2013-04,0.469,
2013-07,0.408,
2013-10,0.416,
2014-01,0.467,
2014-04,0.452,
2014-07,0.394,
