"",BBSF2.M.1.S.I0002.GEF01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEF01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:47,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,11,
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,9,
2005-01,5,
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-144,
2005-05,-10,
2005-06,0,
2005-07,67,
2005-08,0,
2005-09,0,
2005-10,2,
2005-11,5,
2005-12,36,
2006-01,7,
2006-02,2,
2006-03,521,
2006-04,197,
2006-05,218,
2006-06,-102,
2006-07,38,
2006-08,-110,
2006-09,500,
2006-10,-201,
2006-11,0,
2006-12,-307,
2007-01,1058,
2007-02,128,
2007-03,-259,
2007-04,845,
2007-05,-194,
2007-06,644,
2007-07,516,
2007-08,50,
2007-09,-127,
2007-10,1172,
2007-11,-426,
2007-12,-108,
2008-01,-5,
2008-02,61,
2008-03,-26,
2008-04,9,
2008-05,20,
2008-06,-34,
2008-07,-15,
2008-08,-30,
2008-09,-184,
2008-10,-2239,
2008-11,-22,
2008-12,-197,
2009-01,205,
2009-02,452,
2009-03,603,
2009-04,-99,
2009-05,-293,
2009-06,-45,
2009-07,160,
2009-08,-147,
2009-09,1271,
2009-10,704,
2009-11,155,
2009-12,1865,
2010-01,112,
2010-02,524,
2010-03,169,
2010-04,661,
2010-05,-28,
2010-06,51,
2010-07,1138,
2010-08,288,
2010-09,832,
2010-10,305,
2010-11,494,
2010-12,897,
2011-01,53,
2011-02,183,
2011-03,423,
2011-04,539,
2011-05,253,
2011-06,224,
2011-07,380,
2011-08,-124,
2011-09,551,
2011-10,2506,
2011-11,1640,
2011-12,986,
2012-01,545,
2012-02,180,
2012-03,232,
2012-04,694,
2012-05,303,
2012-06,4152,
2012-07,771,
2012-08,788,
2012-09,186,
2012-10,341,
2012-11,784,
2012-12,991,
2013-01,1264,
2013-02,328,
2013-03,350,
2013-04,263,
2013-05,-1761,
2013-06,1318,
2013-07,2797,
2013-08,-13,
2013-09,396,
2013-10,644,
2013-11,1210,
2013-12,432,
2014-01,888,
2014-02,232,
2014-03,223,
2014-04,496,
2014-05,265,
2014-06,394,
2014-07,348,
2014-08,-15,
2014-09,228,
2014-10,8148,
2014-11,847,
