"",BBK01.OEYB19N,BBK01.OEYB19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:33,
2002-01,0.533,
2002-04,0.550,
2002-07,0.573,
2002-10,0.570,
2003-01,0.614,
2003-04,0.599,
2003-07,0.688,
2003-10,0.676,
2004-01,0.715,
2004-04,0.749,
2004-07,0.782,
2004-10,0.758,
2005-01,0.757,
2005-04,0.581,
2005-07,0.345,
2005-10,0.812,
2006-01,0.820,
2006-04,0.813,
2006-07,0.809,
2006-10,0.780,
2007-01,0.814,
2007-04,0.843,
2007-07,0.853,
2007-10,0.851,
2008-01,0.868,
2008-04,0.857,
2008-07,0.811,
2008-10,0.864,
2009-01,0.852,
2009-04,0.834,
2009-07,0.769,
2009-10,0.711,
2010-01,0.660,
2010-04,0.577,
2010-07,0.547,
2010-10,0.519,
2011-01,0.491,
2011-04,0.450,
2011-07,0.441,
2011-10,0.441,
2012-01,0.498,
2012-04,0.483,
2012-07,0.422,
2012-10,0.413,
2013-01,0.365,
2013-04,0.327,
2013-07,0.299,
2013-10,0.272,
2014-01,0.255,
2014-04,0.189,
2014-07,0.192,
