"",BBK01.CELE11,BBK01.CELE11_FLAGS
"",short-term loans debtor: Non-financial corporations                         creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:44,
1999-01,-0.6,
1999-04,-1.5,
1999-07,3.6,
1999-10,1.0,
2000-01,-0.4,
2000-04,2.4,
2000-07,-17.6,
2000-10,16.1,
2001-01,12.1,
2001-04,-2.1,
2001-07,-0.4,
2001-10,0.8,
2002-01,15.9,
2002-04,1.3,
2002-07,6.1,
2002-10,-1.5,
2003-01,0.8,
2003-04,-3.5,
2003-07,-2.0,
2003-10,-0.9,
2004-01,2.5,
2004-04,-1.1,
2004-07,-0.1,
2004-10,-3.2,
2005-01,3.4,
2005-04,4.4,
2005-07,3.9,
2005-10,1.9,
2006-01,2.1,
2006-04,-1.9,
2006-07,-4.0,
2006-10,3.0,
2007-01,-8.3,
2007-04,-1.9,
2007-07,-2.0,
2007-10,8.4,
2008-01,4.0,
2008-04,1.3,
2008-07,5.3,
2008-10,0.9,
2009-01,0.8,
2009-04,11.9,
2009-07,-10.2,
2009-10,-11.6,
2010-01,-8.4,
2010-04,5.0,
2010-07,-7.9,
2010-10,4.3,
2011-01,5.3,
2011-04,-2.0,
2011-07,0.1,
2011-10,3.0,
2012-01,0.6,
2012-04,4.0,
2012-07,0.8,
2012-10,0.7,
2013-01,3.6,
2013-04,-0.6,
2013-07,2.6,
2013-10,1.8,
2014-01,4.0,
2014-04,1.6,
2014-07,5.8,
