"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.AT.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.AT.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Austria / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:58,
2009-09,644,
2009-10,709,
2009-11,797,
2009-12,771,
2010-01,792,
2010-02,862,
2010-03,881,
2010-04,908,
2010-05,933,
2010-06,1026,
2010-07,890,
2010-08,913,
2010-09,898,
2010-10,857,
2010-11,822,
2010-12,820,
2011-01,735,
2011-02,743,
2011-03,714,
2011-04,756,
2011-05,781,
2011-06,781,
2011-07,752,
2011-08,743,
2011-09,810,
2011-10,785,
2011-11,705,
2011-12,708,
2012-01,746,
2012-02,707,
2012-03,699,
2012-04,707,
2012-05,764,
2012-06,760,
2012-07,661,
2012-08,668,
2012-09,664,
2012-10,652,
2012-11,678,
2012-12,689,
2013-01,673,
2013-02,650,
2013-03,611,
2013-04,635,
2013-05,627,
2013-06,626,
2013-07,674,
2013-08,666,
2013-09,687,
2013-10,660,
2013-11,665,
2013-12,675,
2014-01,656,
2014-02,672,
2014-03,624,
2014-04,627,
2014-05,672,
2014-06,668,
2014-07,641,
2014-08,629,
2014-09,598,
2014-10,605,
2014-11,620,
