"",BBK01.OEAE15U,BBK01.OEAE15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:23,
2002-01,0.094,
2002-04,0.088,
2002-07,0.093,
2002-10,0.105,
2003-01,0.100,
2003-04,0.096,
2003-07,0.079,
2003-10,0.081,
2004-01,0.086,
2004-04,0.082,
2004-07,0.076,
2004-10,0.072,
2005-01,0.086,
2005-04,0.093,
2005-07,0.092,
2005-10,0.080,
2006-01,0.099,
2006-04,0.078,
2006-07,0.082,
2006-10,0.081,
2007-01,0.086,
2007-04,0.083,
2007-07,0.083,
2007-10,0.088,
2008-01,0.095,
2008-04,0.096,
2008-07,0.093,
2008-10,0.098,
2009-01,0.078,
2009-04,0.075,
2009-07,0.077,
2009-10,0.071,
2010-01,0.070,
2010-04,0.070,
2010-07,0.074,
2010-10,0.061,
2011-01,0.066,
2011-04,0.071,
2011-07,0.064,
2011-10,0.070,
2012-01,0.066,
2012-04,0.065,
2012-07,0.068,
2012-10,0.065,
2013-01,0.072,
2013-04,0.068,
2013-07,0.068,
2013-10,0.075,
2014-01,0.068,
2014-04,0.071,
2014-07,0.071,
