"",BBK01.OEBB01R,BBK01.OEBB01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:24,
2002-01,8.405,
2002-04,8.455,
2002-07,8.576,
2002-10,8.736,
2003-01,8.402,
2003-04,8.407,
2003-07,8.412,
2003-10,8.393,
2004-01,8.376,
2004-04,8.391,
2004-07,8.387,
2004-10,8.359,
2005-01,9.285,
2005-04,9.309,
2005-07,9.288,
2005-10,9.156,
2006-01,9.118,
2006-04,9.213,
2006-07,9.306,
2006-10,9.335,
2007-01,9.495,
2007-04,9.577,
2007-07,9.577,
2007-10,9.758,
2008-01,25.462,
2008-04,10.064,
2008-07,10.183,
2008-10,10.239,
2009-01,10.168,
2009-04,10.696,
2009-07,10.745,
2009-10,10.989,
2010-01,11.235,
2010-04,11.385,
2010-07,11.538,
2010-10,11.652,
2011-01,11.852,
2011-04,11.944,
2011-07,12.020,
2011-10,12.325,
2012-01,12.478,
2012-04,12.627,
2012-07,12.776,
2012-10,12.985,
2013-01,13.138,
2013-04,13.300,
2013-07,13.505,
2013-10,13.763,
2014-01,13.936,
2014-04,13.873,
2014-07,13.911,
