"",BBK01.OEAH48H,BBK01.OEAH48H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:01,
2002-01,0.073,
2002-04,0.081,
2002-07,0.083,
2002-10,0.095,
2003-01,0.085,
2003-04,0.079,
2003-07,0.076,
2003-10,0.082,
2004-01,0.079,
2004-04,0.066,
2004-07,0.067,
2004-10,0.104,
2005-01,0.071,
2005-04,0.069,
2005-07,0.073,
2005-10,0.077,
2006-01,0.085,
2006-04,0.090,
2006-07,0.104,
2006-10,0.124,
2007-01,0.146,
2007-04,0.173,
2007-07,0.217,
2007-10,0.376,
2008-01,0.562,
2008-04,0.614,
2008-07,0.670,
2008-10,0.697,
2009-01,0.506,
2009-04,0.453,
2009-07,0.471,
2009-10,0.505,
2010-01,0.425,
2010-04,0.380,
2010-07,0.345,
2010-10,0.327,
2011-01,0.324,
2011-04,0.320,
2011-07,0.305,
2011-10,0.308,
2012-01,0.310,
2012-04,0.308,
2012-07,0.276,
2012-10,0.234,
2013-01,0.189,
2013-04,0.188,
2013-07,0.192,
2013-10,0.232,
2014-01,0.184,
2014-04,0.144,
2014-07,0.130,
