"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:31,
1991-01,2380.370,
1991-04,-1530.341,
1991-07,-931.330,
1991-10,1457.355,
1992-01,-433.222,
1992-04,1312.358,
1992-07,-2591.822,
1992-10,571.229,
1993-01,2791.382,
1993-04,1138.688,
1993-07,-3025.537,
1993-10,973.179,
1994-01,-1784.730,
1994-04,-2744.474,
1994-07,1343.888,
1994-10,-453.153,
1995-01,-161.701,
1995-04,1404.775,
1995-07,5361.851,
1995-10,227.504,
1996-01,1885.868,
1996-04,2308.367,
1996-07,1391.223,
1996-10,-2656.023,
1997-01,2574.586,
1997-04,-1259.789,
1997-07,-5373.610,
1997-10,6343.622,
1998-01,-3894.140,
1998-04,1429.717,
1998-07,-308.697,
1998-10,5745.996,
1999-01,-10202.000,
1999-04,-1090.606,
1999-07,-585.711,
1999-10,-509.604,
2000-01,616.589,
2000-04,868.053,
2000-07,119.836,
2000-10,881.431,
2001-01,351.138,
2001-04,-3787.595,
2001-07,912.484,
2001-10,4224.247,
2002-01,3153.731,
2002-04,-3628.645,
2002-07,306.845,
2002-10,5568.403,
2003-01,-2106.404,
2003-04,11234.059,
2003-07,-837.488,
2003-10,-5613.828,
2004-01,3031.386,
2004-04,1661.464,
2004-07,-578.553,
2004-10,-1927.117,
2005-01,-6836.172,
2005-04,4191.427,
2005-07,1678.131,
2005-10,-4173.876,
2006-01,-2369.072,
2006-04,-4471.437,
2006-07,-981.712,
2006-10,-4265.029,
2007-01,-298.717,
2007-04,1797.978,
2007-07,-753.084,
2007-10,1480.586,
2008-01,2641.732,
2008-04,1599.161,
2008-07,3130.553,
2008-10,-5417.852,
2009-01,-3399.445,
2009-04,1463.150,
2009-07,68.354,
2009-10,986.618,
2010-01,-1522.141,
2010-04,193.394,
2010-07,3236.700,
2010-10,-2360.675,
2011-01,-2656.674,
2011-04,1155.313,
2011-07,-2494.981,
2011-10,-219.749,
2012-01,-936.044,
2012-04,221.000,
2012-07,-453.784,
2012-10,72.111,
2013-01,-1429.616,
2013-04,1847.506,
2013-07,-1198.956,
2013-10,-139.616,
2014-01,1107.039,Provisional value
2014-04,904.089,Provisional value
2014-07,-1887.990,Provisional value
2014-10,-3271.303,Provisional value
