"",BBK01.OELO04V,BBK01.OELO04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:22,
2002-01,-0.004,
2002-04,-0.044,
2002-07,0.010,
2002-10,0.039,
2003-01,0.016,
2003-04,-0.024,
2003-07,0.021,
2003-10,0.034,
2004-01,0.037,
2004-04,-0.007,
2004-07,-0.017,
2004-10,0.040,
2005-01,0.029,
2005-04,-0.009,
2005-07,-0.018,
2005-10,-0.023,
2006-01,-0.011,
2006-04,-0.051,
2006-07,-0.042,
2006-10,-0.057,
2007-01,-0.090,
2007-04,-0.087,
2007-07,-0.012,
2007-10,-0.043,
2008-01,-0.028,
2008-04,-0.074,
2008-07,-0.054,
2008-10,-0.005,
2009-01,0.035,
2009-04,0.085,
2009-07,0.021,
2009-10,0.094,
2010-01,0.057,
2010-04,0.015,
2010-07,0.035,
2010-10,0.002,
2011-01,-0.007,
2011-04,-0.041,
2011-07,-0.024,
2011-10,-0.004,
2012-01,-0.004,
2012-04,-,Nothing exists
2012-07,0.044,
2012-10,0.007,
2013-01,-0.016,
2013-04,0.002,
2013-07,-0.016,
2013-10,-0.039,
2014-01,0.070,
2014-04,-0.075,
2014-07,0.053,
