"",BBFN1.M.DE.N.1.L.HR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Croatia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:30,
1994-07,0.080,
1994-08,0.077,
1994-09,0.085,
1994-10,0.079,
1994-11,0.076,
1994-12,0.092,
1995-01,0.088,
1995-02,0.071,
1995-03,0.075,
1995-04,0.080,
1995-05,0.076,
1995-06,0.081,
1995-07,0.134,
1995-08,0.136,
1995-09,0.123,
1995-10,0.128,
1995-11,0.129,
1995-12,0.131,
1996-01,0.122,
1996-02,0.122,
1996-03,0.137,
1996-04,0.115,
1996-05,0.116,
1996-06,0.110,
1996-07,0.102,
1996-08,0.102,
1996-09,0.103,
1996-10,0.097,
1996-11,0.104,
1996-12,0.101,
1997-01,0.100,
1997-02,0.100,
1997-03,0.097,
1997-04,0.082,
1997-05,0.087,
1997-06,0.082,
1997-07,0.085,
1997-08,0.077,
1997-09,0.079,
1997-10,0.085,
1997-11,0.090,
1997-12,0.086,
1998-01,0.072,
1998-02,0.074,
1998-03,0.085,
1998-04,0.096,
1998-05,0.089,
1998-06,0.069,
1998-07,0.090,
1998-08,0.091,
1998-09,0.087,
1998-10,0.081,
1998-11,0.100,
1998-12,0.097,
1999-01,0.094,
1999-02,0.102,
1999-03,0.103,
1999-04,0.108,
1999-05,0.102,
1999-06,0.111,
1999-07,0.120,
1999-08,0.120,
1999-09,0.116,
1999-10,0.112,
1999-11,0.122,
1999-12,0.117,
2000-01,0.128,
2000-02,0.112,
2000-03,0.117,
2000-04,0.124,
2000-05,0.117,
2000-06,0.130,
2000-07,0.141,
2000-08,0.147,
2000-09,0.121,
2000-10,0.118,
2000-11,0.106,
2000-12,0.105,
2001-01,0.085,
2001-02,0.087,
2001-03,0.093,
2001-04,0.088,
2001-05,0.092,
2001-06,0.098,
2001-07,0.095,
2001-08,0.096,
2001-09,0.102,
2001-10,0.102,
2001-11,0.083,
2001-12,0.083,
2002-01,0.092,
2002-02,0.086,
2002-03,0.085,
2002-04,0.081,
2002-05,0.086,
2002-06,0.095,
2002-07,0.085,
2002-08,0.084,
2002-09,0.087,
2002-10,0.090,
2002-11,0.089,
2002-12,0.094,
2003-01,0.100,
2003-02,0.104,
2003-03,0.104,
2003-04,0.094,
2003-05,0.106,
2003-06,0.115,
2003-07,0.108,
2003-08,0.100,
2003-09,0.099,
2003-10,0.111,
2003-11,0.121,
2003-12,0.145,
2004-01,0.143,
2004-02,0.149,
2004-03,0.135,
2004-04,0.125,
2004-05,0.114,
2004-06,.,No value available
2004-07,0.103,
2004-08,0.119,
2004-09,0.108,
2004-10,0.104,
2004-11,0.091,
2004-12,0.089,
2005-01,0.086,
2005-02,0.084,
2005-03,0.086,
2005-04,0.079,
2005-05,0.077,
2005-06,0.081,
2005-07,0.082,
2005-08,0.079,
2005-09,0.081,
2005-10,0.081,
2005-11,0.080,
2005-12,0.090,
2006-01,0.080,
2006-02,0.082,
2006-03,0.075,
2006-04,0.070,
2006-05,0.069,
2006-06,0.078,
2006-07,0.076,
2006-08,0.092,
2006-09,0.088,
2006-10,0.080,
2006-11,0.080,
2006-12,0.083,
2007-01,0.074,
2007-02,0.082,
2007-03,0.082,
2007-04,0.087,
2007-05,0.081,
2007-06,.,No value available
2007-07,0.087,
2007-08,0.089,
2007-09,0.096,
2007-10,0.079,
2007-11,0.082,
2007-12,0.079,
2008-01,0.080,
2008-02,0.079,
2008-03,0.085,
2008-04,0.091,
2008-05,0.086,
2008-06,0.092,
2008-07,0.100,
2008-08,0.093,
2008-09,0.096,
2008-10,0.089,
2008-11,0.080,
2008-12,0.093,
2009-01,0.089,
2009-02,0.088,
2009-03,0.095,
2009-04,0.091,
2009-05,0.093,
2009-06,0.104,
2009-07,0.104,
2009-08,0.098,
2009-09,0.094,
2009-10,0.098,
2009-11,0.083,
2009-12,0.087,
2010-01,0.084,
2010-02,0.081,
2010-03,0.091,
2010-04,0.089,
2010-05,0.085,
2010-06,0.071,
2010-07,0.096,
2010-08,0.094,
2010-09,0.102,
2010-10,0.094,
2010-11,0.086,
2010-12,0.073,
2011-01,0.062,
2011-02,0.068,
2011-03,0.076,
2011-04,0.073,
2011-05,0.071,
2011-06,0.067,
2011-07,0.071,
2011-08,0.074,
2011-09,0.073,
2011-10,0.066,
2011-11,0.074,
2011-12,0.092,
2012-01,0.081,
2012-02,0.072,
2012-03,0.076,
2012-04,0.080,
2012-05,0.073,
2012-06,0.091,
2012-07,0.090,
2012-08,0.093,
2012-09,0.095,
2012-10,0.062,
2012-11,0.069,
2012-12,0.066,
2013-01,0.080,
2013-02,0.052,
2013-03,0.061,
2013-04,0.063,
2013-05,0.064,
2013-06,0.071,
2013-07,0.097,
2013-08,0.090,
2013-09,0.101,
2013-10,0.100,
2013-11,0.119,
2013-12,0.085,
2014-01,0.077,
2014-02,0.081,
2014-03,0.078,
2014-04,0.074,
2014-05,0.058,
2014-06,0.064,
2014-07,0.064,
2014-08,0.075,
2014-09,0.072,
2014-10,0.060,
2014-11,0.058,
2014-12,0.056,
