"",BBK01.OEAD16T,BBK01.OEAD16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:14,
2002-01,0.075,
2002-04,0.087,
2002-07,0.097,
2002-10,0.081,
2003-01,0.094,
2003-04,0.092,
2003-07,0.097,
2003-10,0.096,
2004-01,0.096,
2004-04,0.095,
2004-07,0.086,
2004-10,0.070,
2005-01,0.074,
2005-04,0.072,
2005-07,0.068,
2005-10,0.056,
2006-01,0.057,
2006-04,0.055,
2006-07,0.053,
2006-10,0.052,
2007-01,0.046,
2007-04,0.055,
2007-07,0.049,
2007-10,0.050,
2008-01,0.062,
2008-04,0.061,
2008-07,0.061,
2008-10,0.059,
2009-01,0.072,
2009-04,0.060,
2009-07,0.064,
2009-10,0.134,
2010-01,0.057,
2010-04,0.062,
2010-07,0.116,
2010-10,0.049,
2011-01,0.063,
2011-04,0.059,
2011-07,0.064,
2011-10,0.055,
2012-01,0.055,
2012-04,0.067,
2012-07,0.063,
2012-10,0.065,
2013-01,0.063,
2013-04,0.062,
2013-07,0.073,
2013-10,0.063,
2014-01,0.068,
2014-04,0.055,
2014-07,0.060,
