"",BBK01.OEBB13O,BBK01.OEBB13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:52,
2002-01,0.590,
2002-04,0.534,
2002-07,0.507,
2002-10,0.271,
2003-01,0.164,
2003-04,0.071,
2003-07,0.025,
2003-10,-0.039,
2004-01,-0.078,
2004-04,-0.145,
2004-07,-0.137,
2004-10,-0.445,
2005-01,1.302,
2005-04,1.297,
2005-07,1.289,
2005-10,1.285,
2006-01,1.252,
2006-04,1.242,
2006-07,1.234,
2006-10,1.220,
2007-01,1.200,
2007-04,1.205,
2007-07,1.169,
2007-10,1.157,
2008-01,1.145,
2008-04,1.135,
2008-07,1.112,
2008-10,1.090,
2009-01,1.082,
2009-04,1.109,
2009-07,1.082,
2009-10,1.068,
2010-01,1.061,
2010-04,1.066,
2010-07,1.185,
2010-10,1.173,
2011-01,0.993,
2011-04,0.964,
2011-07,0.953,
2011-10,0.921,
2012-01,0.907,
2012-04,0.905,
2012-07,0.882,
2012-10,0.893,
2013-01,0.886,
2013-04,0.868,
2013-07,0.906,
2013-10,0.898,
2014-01,0.877,
2014-04,0.872,
2014-07,0.809,
