"",BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:05,
1990-07,199867,
1990-08,232130,
1990-09,123755,
1990-10,212488,
1990-11,194579,
1990-12,180508,
1991-01,218175,
1991-02,206557,
1991-03,182609,
1991-04,185529,
1991-05,264778,
1991-06,161011,
1991-07,292184,
1991-08,221088,
1991-09,237119,
1991-10,215287,
1991-11,221683,
1991-12,209075,
1992-01,217378,
1992-02,190470,
1992-03,255210,
1992-04,192040,
1992-05,155148,
1992-06,195847,
1992-07,225396,
1992-08,169408,
1992-09,178355,
1992-10,234619,
1992-11,287788,
1992-12,159801,
1993-01,221743,
1993-02,184303,
1993-03,219399,
1993-04,239229,
1993-05,216961,
1993-06,226034,
1993-07,272119,
1993-08,247431,
1993-09,237714,
1993-10,248060,
1993-11,301828,
1993-12,309097,
1994-01,244260,
1994-02,253675,
1994-03,266585,
1994-04,251174,
1994-05,332786,
1994-06,310045,
1994-07,315305,
1994-08,331513,
1994-09,308780,
1994-10,293185,
1994-11,403394,
1994-12,460636,
1995-01,320550,
1995-02,346896,
1995-03,384002,
1995-04,316288,
1995-05,376789,
1995-06,379515,
1995-07,384454,
1995-08,420749,
1995-09,328572,
1995-10,363285,
1995-11,415507,
1995-12,437879,
1996-01,417991,
1996-02,448366,
1996-03,407966,
1996-04,412718,
1996-05,451499,
1996-06,400769,
1996-07,456539,
1996-08,386456,
1996-09,381139,
1996-10,440450,
1996-11,395841,
1996-12,445861,
1997-01,387046,
1997-02,335596,
1997-03,401829,
1997-04,448423,
1997-05,370196,
1997-06,388119,
1997-07,441987,
1997-08,344311,
1997-09,423011,
1997-10,393154,
1997-11,369518,
1997-12,420352,
1998-01,239681,
1998-02,191985,
1998-03,263335,
1998-04,215076,
1998-05,194492,
1998-06,182987,
1998-07,203438,
1998-08,232812,
1998-09,193198,
1998-10,190939,
1998-11,220005,
1998-12,243601,
1999-01,190795,
1999-02,204285,
1999-03,262625,
1999-04,231826,
1999-05,255932,
1999-06,262542,
1999-07,307548,
1999-08,292662,
1999-09,291588,
1999-10,268603,
1999-11,315335,
1999-12,350266,
2000-01,293955,
2000-02,338293,
2000-03,374283,
2000-04,297333,
2000-05,372164,
2000-06,360847,
2000-07,391337,
2000-08,424062,
2000-09,356527,
2000-10,393268,
2000-11,479765,
2000-12,434665,
2001-01,373803,
2001-02,329254,
2001-03,406845,
2001-04,355917,
2001-05,408062,
2001-06,424833,
2001-07,399789,
2001-08,386214,
2001-09,334448,
2001-10,402609,
2001-11,396494,
2001-12,388321,
2002-01,445204,
2002-02,418301,
2002-03,480532,
2002-04,472845,
2002-05,486115,
2002-06,484690,
2002-07,493393,
2002-08,461615,
2002-09,432275,
2002-10,463436,
2002-11,487424,
2002-12,464568,
2003-01,470720,
2003-02,454894,
2003-03,417370,
2003-04,432318,
2003-05,483209,
2003-06,464516,
2003-07,461846,
2003-08,474390,
2003-09,474129,
2003-10,451416,
2003-11,523256,
2003-12,457994,
2004-01,519045,
2004-02,542754,
2004-03,564510,
2004-04,518056,
2004-05,567275,
2004-06,530023,
2004-07,593865,
2004-08,528310,
2004-09,527893,
2004-10,484001,
2004-11,489540,
2004-12,531317,
2005-01,565477,
2005-02,459509,
2005-03,566209,
2005-04,539302,
2005-05,548282,
2005-06,611824,
2005-07,582079,
2005-08,691354,
2005-09,630691,
2005-10,577950,
2005-11,617184,
2005-12,705507,
2006-01,629766,
2006-02,670199,
2006-03,707648,
2006-04,671499,
2006-05,642769,
2006-06,643624,
2006-07,675467,
2006-08,719475,
2006-09,829906,
2006-10,720609,
2006-11,819523,
2006-12,748480,
2007-01,765479,
2007-02,732652,
2007-03,774956,
2007-04,710862,
2007-05,663984,
2007-06,684482,
2007-07,715473,
2007-08,734509,
2007-09,660316,
2007-10,784783,
2007-11,834032,
2007-12,660914,
2008-01,812785,
2008-02,763328,
2008-03,764328,
2008-04,793814,
2008-05,646768,
2008-06,740378,
2008-07,974853,
2008-08,643204,
2008-09,756835,
2008-10,713922,
2008-11,621230,
2008-12,580928,
2009-01,531993,
2009-02,528782,
2009-03,565983,
2009-04,573423,
2009-05,538063,
2009-06,718259,
2009-07,827769,
2009-08,627298,
2009-09,708304,
2009-10,703120,
2009-11,782551,
2009-12,867606,
2010-01,651572,
2010-02,710459,
2010-03,880176,
2010-04,780190,
2010-05,782240,
2010-06,889709,
2010-07,1038611,
2010-08,869118,
2010-09,870581,
2010-10,889916,
2010-11,943423,
2010-12,952998,
2011-01,805362,
2011-02,969636,
2011-03,1047220,
2011-04,966698,
2011-05,1066882,
2011-06,870654,
2011-07,957631,
2011-08,981237,
2011-09,1016124,
2011-10,913789,
2011-11,1053851,
2011-12,1049118,
2012-01,914828,
2012-02,1158699,
2012-03,1231510,
2012-04,992137,
2012-05,1016573,
2012-06,1124722,
2012-07,1162980,
2012-08,1139679,
2012-09,1120189,
2012-10,1193057,
2012-11,1254743,
2012-12,1089895,
2013-01,1066147,
2013-02,1084367,
2013-03,1267006,
2013-04,1225430,
2013-05,1174228,
2013-06,1204866,
2013-07,1330933,
2013-08,1113089,
2013-09,1317393,
2013-10,1153339,
2013-11,1220172,
2013-12,1290305,
2014-01,1161635,
2014-02,1147225,
2014-03,1222809,
2014-04,1235960,
2014-05,1173427,
2014-06,1290995,
2014-07,1452363,
2014-08,1141670,
2014-09,1391208,
2014-10,1593913,
2014-11,1307835,
2014-12,1505864,
