"",BBSF2.M.1.S.I0002.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:37,
2004-01,113,
2004-02,276,
2004-03,677,
2004-04,140,
2004-05,184,
2004-06,1757,
2004-07,1209,
2004-08,495,
2004-09,140,
2004-10,328,
2004-11,102,
2004-12,-1204,
2005-01,297,
2005-02,198,
2005-03,597,
2005-04,306,
2005-05,1519,
2005-06,272,
2005-07,157,
2005-08,30,
2005-09,216,
2005-10,289,
2005-11,33,
2005-12,2263,
2006-01,2803,
2006-02,221,
2006-03,1551,
2006-04,223,
2006-05,301,
2006-06,416,
2006-07,-204,
2006-08,64,
2006-09,7125,
2006-10,-129,
2006-11,512,
2006-12,1624,
2007-01,774,
2007-02,1030,
2007-03,-190,
2007-04,1131,
2007-05,-319,
2007-06,319,
2007-07,312,
2007-08,-59,
2007-09,-1103,
2007-10,1180,
2007-11,945,
2007-12,-344,
2008-01,2494,
2008-02,164,
2008-03,276,
2008-04,-252,
2008-05,676,
2008-06,4,
2008-07,236,
2008-08,85,
2008-09,10,
2008-10,2086,
2008-11,5685,
2008-12,774,
2009-01,1024,
2009-02,-365,
2009-03,3329,
2009-04,585,
2009-05,452,
2009-06,-982,
2009-07,-78,
2009-08,-299,
2009-09,2963,
2009-10,872,
2009-11,1066,
2009-12,4499,
2010-01,535,
2010-02,740,
2010-03,1230,
2010-04,1441,
2010-05,910,
2010-06,-24,
2010-07,2076,
2010-08,1181,
2010-09,854,
2010-10,-1783,
2010-11,1915,
2010-12,3350,
2011-01,305,
2011-02,4951,
2011-03,1018,
2011-04,368,
2011-05,44,
2011-06,409,
2011-07,903,
2011-08,158,
2011-09,1193,
2011-10,1201,
2011-11,1532,
2011-12,1852,
2012-01,3349,
2012-02,470,
2012-03,1197,
2012-04,1771,
2012-05,1165,
2012-06,5437,
2012-07,1702,
2012-08,1355,
2012-09,819,
2012-10,1476,
2012-11,2618,
2012-12,7750,
2013-01,1249,
2013-02,843,
2013-03,1906,
2013-04,2799,
2013-05,-1123,
2013-06,-82,
2013-07,3947,
2013-08,-83,
2013-09,887,
2013-10,1494,
2013-11,1731,
2013-12,3370,
2014-01,1360,
2014-02,-83,
2014-03,6969,
2014-04,465,
2014-05,1153,
2014-06,1526,
2014-07,1210,
2014-08,1210,
2014-09,797,
2014-10,8242,
2014-11,2526,
