"",BBK01.OELO01S,BBK01.OELO01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:36,
2002-01,1.785,
2002-04,1.773,
2002-07,1.763,
2002-10,1.794,
2003-01,1.863,
2003-04,1.899,
2003-07,1.878,
2003-10,1.881,
2004-01,1.934,
2004-04,1.937,
2004-07,1.947,
2004-10,1.904,
2005-01,1.923,
2005-04,1.895,
2005-07,1.871,
2005-10,1.858,
2006-01,1.890,
2006-04,1.884,
2006-07,1.843,
2006-10,1.827,
2007-01,1.832,
2007-04,1.794,
2007-07,1.751,
2007-10,1.741,
2008-01,1.759,
2008-04,1.743,
2008-07,1.704,
2008-10,1.680,
2009-01,1.719,
2009-04,1.726,
2009-07,1.759,
2009-10,1.723,
2010-01,1.789,
2010-04,1.787,
2010-07,1.786,
2010-10,1.791,
2011-01,1.826,
2011-04,1.828,
2011-07,1.813,
2011-10,1.809,
2012-01,1.833,
2012-04,1.824,
2012-07,1.813,
2012-10,1.815,
2013-01,1.849,
2013-04,1.860,
2013-07,1.854,
2013-10,1.853,
2014-01,1.874,
2014-04,1.883,
2014-07,1.876,
