"",BBK01.OEBB13L,BBK01.OEBB13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:19,
2002-01,5.358,
2002-04,5.364,
2002-07,5.344,
2002-10,5.396,
2003-01,5.909,
2003-04,5.876,
2003-07,5.827,
2003-10,5.784,
2004-01,6.068,
2004-04,6.166,
2004-07,5.952,
2004-10,6.372,
2005-01,6.181,
2005-04,5.983,
2005-07,6.040,
2005-10,6.708,
2006-01,6.700,
2006-04,6.607,
2006-07,6.372,
2006-10,6.433,
2007-01,6.570,
2007-04,6.696,
2007-07,6.792,
2007-10,7.597,
2008-01,7.671,
2008-04,7.403,
2008-07,7.503,
2008-10,7.645,
2009-01,7.685,
2009-04,9.277,
2009-07,9.131,
2009-10,9.284,
2010-01,9.324,
2010-04,9.479,
2010-07,9.733,
2010-10,9.565,
2011-01,9.837,
2011-04,9.877,
2011-07,9.912,
2011-10,9.860,
2012-01,9.778,
2012-04,9.820,
2012-07,9.741,
2012-10,9.755,
2013-01,9.637,
2013-04,9.511,
2013-07,9.499,
2013-10,9.417,
2014-01,9.308,
2014-04,9.328,
2014-07,9.379,
