"",BBK01.OECB05P,BBK01.OECB05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:12,
2002-01,1.928,
2002-04,1.924,
2002-07,1.944,
2002-10,1.399,
2003-01,1.523,
2003-04,1.374,
2003-07,1.522,
2003-10,1.494,
2004-01,1.437,
2004-04,1.389,
2004-07,1.434,
2004-10,1.364,
2005-01,1.540,
2005-04,1.572,
2005-07,1.575,
2005-10,1.502,
2006-01,1.486,
2006-04,1.524,
2006-07,1.537,
2006-10,1.542,
2007-01,1.549,
2007-04,1.549,
2007-07,1.516,
2007-10,1.564,
2008-01,1.552,
2008-04,1.534,
2008-07,1.457,
2008-10,1.421,
2009-01,1.402,
2009-04,1.752,
2009-07,1.733,
2009-10,1.741,
2010-01,1.749,
2010-04,1.736,
2010-07,1.595,
2010-10,1.695,
2011-01,1.708,
2011-04,1.676,
2011-07,1.712,
2011-10,1.644,
2012-01,1.659,
2012-04,1.629,
2012-07,1.663,
2012-10,1.495,
2013-01,1.545,
2013-04,1.532,
2013-07,1.614,
2013-10,1.711,
2014-01,1.737,
2014-04,1.711,
2014-07,1.694,
