"",BBSF2.M.1.P.00000.IMM01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.IMM01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Real estate funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:27,
2009-09,8004,
2009-10,8513,
2009-11,7953,
2009-12,7370,
2010-01,7487,
2010-02,7807,
2010-03,7584,
2010-04,7371,
2010-05,6561,
2010-06,6412,
2010-07,6669,
2010-08,6097,
2010-09,6006,
2010-10,5459,
2010-11,4938,
2010-12,4927,
2011-01,6657,
2011-02,7739,
2011-03,7956,
2011-04,8392,
2011-05,8259,
2011-06,8119,
2011-07,7935,
2011-08,8051,
2011-09,8788,
2011-10,8854,
2011-11,8612,
2011-12,9376,
2012-01,9575,
2012-02,9586,
2012-03,10249,
2012-04,10591,
2012-05,12321,
2012-06,10948,
2012-07,10066,
2012-08,9953,
2012-09,9848,
2012-10,9377,
2012-11,9258,
2012-12,8562,
2013-01,8320,
2013-02,8111,
2013-03,9110,
2013-04,8485,
2013-05,8401,
2013-06,8066,
2013-07,8246,
2013-08,7706,
2013-09,8263,
2013-10,8060,
2013-11,7144,
2013-12,7182,
2014-01,6331,
2014-02,6516,
2014-03,6181,
2014-04,6650,
2014-05,6981,
2014-06,6717,
2014-07,5462,
2014-08,5395,
2014-09,5554,
2014-10,4883,
2014-11,5076,
