"",BBK01.OELJ05L,BBK01.OELJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:45,
2002-01,0.653,
2002-04,0.652,
2002-07,0.628,
2002-10,0.630,
2003-01,0.655,
2003-04,0.640,
2003-07,0.620,
2003-10,0.575,
2004-01,0.561,
2004-04,0.529,
2004-07,0.546,
2004-10,0.528,
2005-01,0.517,
2005-04,0.529,
2005-07,0.527,
2005-10,0.502,
2006-01,0.475,
2006-04,0.469,
2006-07,0.482,
2006-10,0.457,
2007-01,0.494,
2007-04,0.499,
2007-07,0.508,
2007-10,0.478,
2008-01,0.470,
2008-04,0.466,
2008-07,0.470,
2008-10,0.449,
2009-01,0.432,
2009-04,0.418,
2009-07,0.427,
2009-10,0.390,
2010-01,0.378,
2010-04,0.365,
2010-07,0.342,
2010-10,0.330,
2011-01,0.332,
2011-04,0.322,
2011-07,0.312,
2011-10,0.310,
2012-01,0.279,
2012-04,0.299,
2012-07,0.306,
2012-10,0.296,
2013-01,0.291,
2013-04,0.286,
2013-07,0.277,
2013-10,0.276,
2014-01,0.422,
2014-04,0.397,
2014-07,0.375,
