"",BBK01.OEYL01G,BBK01.OEYL01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:53,
2002-01,53.559,
2002-04,53.552,
2002-07,53.240,
2002-10,55.007,
2003-01,55.331,
2003-04,55.760,
2003-07,56.068,
2003-10,57.614,
2004-01,58.236,
2004-04,58.487,
2004-07,58.680,
2004-10,60.472,
2005-01,61.152,
2005-04,61.498,
2005-07,65.018,
2005-10,67.026,
2006-01,67.652,
2006-04,67.862,
2006-07,67.709,
2006-10,68.931,
2007-01,69.176,
2007-04,69.059,
2007-07,68.516,
2007-10,69.538,
2008-01,68.807,
2008-04,68.535,
2008-07,67.152,
2008-10,68.343,
2009-01,68.321,
2009-04,69.321,
2009-07,69.083,
2009-10,70.730,
2010-01,73.808,
2010-04,74.408,
2010-07,74.810,
2010-10,77.386,
2011-01,81.221,
2011-04,81.682,
2011-07,81.973,
2011-10,83.761,
2012-01,84.626,
2012-04,84.725,
2012-07,85.186,
2012-10,86.442,
2013-01,88.047,
2013-04,89.198,
2013-07,88.907,
2013-10,90.598,
2014-01,91.551,
2014-04,92.340,
2014-07,93.023,
