"",BBFN1.M.DE.N.1.L.SE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:21,
1982-09,0.247,
1982-10,0.245,
1982-11,0.267,
1982-12,0.368,
1983-01,0.363,
1983-02,0.359,
1983-03,0.357,
1983-04,0.360,
1983-05,0.357,
1983-06,0.350,
1983-07,0.354,
1983-08,0.353,
1983-09,0.350,
1983-10,0.349,
1983-11,0.333,
1983-12,0.338,
1984-01,0.345,
1984-02,0.334,
1984-03,0.326,
1984-04,0.332,
1984-05,0.337,
1984-06,0.335,
1984-07,0.340,
1984-08,0.327,
1984-09,0.331,
1984-10,0.331,
1984-11,0.333,
1984-12,0.322,
1985-01,0.330,
1985-02,0.334,
1985-03,0.341,
1985-04,0.189,
1985-05,0.190,
1985-06,0.191,
1985-07,0.206,
1985-08,0.236,
1985-09,0.237,
1985-10,0.248,
1985-11,0.223,
1985-12,0.201,
1986-01,0.224,
1986-02,0.220,
1986-03,0.237,
1986-04,0.252,
1986-05,0.289,
1986-06,0.287,
1986-07,0.279,
1986-08,0.278,
1986-09,0.314,
1986-10,0.326,
1986-11,0.312,
1986-12,0.300,
1987-01,0.303,
1987-02,0.290,
1987-03,0.289,
1987-04,0.270,
1987-05,0.285,
1987-06,0.276,
1987-07,0.297,
1987-08,0.316,
1987-09,0.337,
1987-10,0.328,
1987-11,0.313,
1987-12,0.259,
1988-01,0.348,
1988-02,0.376,
1988-03,0.393,
1988-04,0.434,
1988-05,0.501,
1988-06,0.517,
1988-07,0.505,
1988-08,0.516,
1988-09,0.537,
1988-10,0.500,
1988-11,0.487,
1988-12,0.482,
1989-01,0.532,
1989-02,0.536,
1989-03,0.536,
1989-04,0.561,
1989-05,0.615,
1989-06,0.613,
1989-07,0.581,
1989-08,0.586,
1989-09,0.482,
1989-10,0.567,
1989-11,0.512,
1989-12,0.519,
1990-01,0.665,
1990-02,0.675,
1990-03,0.719,
1990-04,1.416,
1990-05,1.455,
1990-06,1.453,
1990-07,1.008,
1990-08,2.235,
1990-09,2.389,
1990-10,2.624,
1990-11,2.608,
1990-12,2.603,
1991-01,2.528,
1991-02,2.598,
1991-03,2.670,
1991-04,2.751,
1991-05,2.723,
1991-06,2.774,
1991-07,2.749,
1991-08,2.765,
1991-09,2.759,
1991-10,2.776,
1991-11,2.856,
1991-12,2.867,
1992-01,2.136,
1992-02,2.152,
1992-03,2.154,
1992-04,2.066,
1992-05,2.098,
1992-06,2.115,
1992-07,2.089,
1992-08,1.980,
1992-09,2.055,
1992-10,2.112,
1992-11,2.139,
1992-12,1.977,
1993-01,1.962,
1993-02,1.977,
1993-03,2.048,
1993-04,2.014,
1993-05,2.084,
1993-06,2.217,
1993-07,2.318,
1993-08,2.172,
1993-09,2.065,
1993-10,2.070,
1993-11,1.942,
1993-12,1.836,
1994-01,1.932,
1994-02,1.888,
1994-03,1.880,
1994-04,1.926,
1994-05,1.909,
1994-06,1.834,
1994-07,1.927,
1994-08,1.977,
1994-09,2.046,
1994-10,1.968,
1994-11,1.873,
1994-12,1.778,
1995-01,1.787,
1995-02,1.688,
1995-03,1.652,
1995-04,1.580,
1995-05,1.605,
1995-06,1.549,
1995-07,1.530,
1995-08,1.538,
1995-09,1.588,
1995-10,1.598,
1995-11,1.558,
1995-12,1.509,
1996-01,1.594,
1996-02,1.346,
1996-03,1.368,
1996-04,1.334,
1996-05,1.280,
1996-06,1.296,
1996-07,1.216,
1996-08,1.249,
1996-09,1.305,
1996-10,1.211,
1996-11,1.162,
1996-12,1.083,
1997-01,1.051,
1997-02,1.124,
1997-03,1.730,
1997-04,1.742,
1997-05,1.700,
1997-06,1.725,
1997-07,1.731,
1997-08,1.708,
1997-09,1.674,
1997-10,1.701,
1997-11,1.690,
1997-12,1.802,
1998-01,1.823,
1998-02,1.812,
1998-03,1.818,
1998-04,1.829,
1998-05,1.803,
1998-06,1.857,
1998-07,1.840,
1998-08,1.862,
1998-09,1.858,
1998-10,2.039,
1998-11,1.989,
1998-12,2.568,
1999-01,2.346,
1999-02,2.150,
1999-03,2.177,
1999-04,2.153,
1999-05,2.186,
1999-06,2.266,
1999-07,1.988,
1999-08,1.908,
1999-09,2.189,
1999-10,2.470,
1999-11,2.198,
1999-12,1.808,
2000-01,1.879,
2000-02,2.031,
2000-03,2.133,
2000-04,2.631,
2000-05,2.623,
2000-06,3.209,
2000-07,3.350,
2000-08,3.510,
2000-09,2.956,
2000-10,3.569,
2000-11,3.543,
2000-12,2.777,
2001-01,2.615,
2001-02,2.750,
2001-03,2.696,
2001-04,3.003,
2001-05,2.981,
2001-06,2.687,
2001-07,2.768,
2001-08,2.794,
2001-09,2.931,
2001-10,2.997,
2001-11,3.261,
2001-12,3.776,
2002-01,4.133,
2002-02,4.673,
2002-03,4.633,
2002-04,4.659,
2002-05,4.761,
2002-06,4.915,
2002-07,5.116,
2002-08,5.538,
2002-09,5.808,
2002-10,5.254,
2002-11,5.216,
2002-12,4.367,
2003-01,4.434,
2003-02,4.677,
2003-03,4.235,
2003-04,4.220,
2003-05,4.108,
2003-06,4.198,
2003-07,4.002,
2003-08,4.344,
2003-09,4.139,
2003-10,4.029,
2003-11,4.041,
2003-12,4.198,
2004-01,4.166,
2004-02,4.206,
2004-03,4.012,
2004-04,3.851,
2004-05,3.635,
2004-06,3.577,
2004-07,3.683,
2004-08,3.800,
2004-09,4.055,
2004-10,4.178,
2004-11,4.090,
2004-12,4.289,
2005-01,4.310,
2005-02,3.562,
2005-03,3.406,
2005-04,3.703,
2005-05,3.895,
2005-06,4.172,
2005-07,4.427,
2005-08,4.532,
2005-09,4.729,
2005-10,4.443,
2005-11,4.654,
2005-12,4.939,
2006-01,5.181,
2006-02,5.488,
2006-03,5.344,
2006-04,5.597,
2006-05,5.083,
2006-06,5.368,
2006-07,5.235,
2006-08,5.191,
2006-09,5.791,
2006-10,5.440,
2006-11,5.362,
2006-12,5.229,
2007-01,5.324,
2007-02,5.314,
2007-03,6.182,
2007-04,6.016,
2007-05,6.060,
2007-06,5.972,
2007-07,5.888,
2007-08,5.855,
2007-09,5.533,
2007-10,5.487,
2007-11,5.567,
2007-12,5.027,
2008-01,5.428,
2008-02,5.283,
2008-03,5.277,
2008-04,5.100,
2008-05,4.932,
2008-06,4.866,
2008-07,4.220,
2008-08,4.505,
2008-09,3.994,
2008-10,3.883,
2008-11,3.993,
2008-12,4.110,
2009-01,4.092,
2009-02,4.364,
2009-03,4.309,
2009-04,4.229,
2009-05,4.135,
2009-06,3.892,
2009-07,4.030,
2009-08,4.091,
2009-09,4.400,
2009-10,4.459,
2009-11,4.497,
2009-12,4.725,
2010-01,5.249,
2010-02,5.233,
2010-03,5.355,
2010-04,5.426,
2010-05,5.418,
2010-06,5.328,
2010-07,5.333,
2010-08,5.580,
2010-09,5.465,
2010-10,5.613,
2010-11,6.092,
2010-12,6.098,
2011-01,6.338,
2011-02,6.454,
2011-03,6.066,
2011-04,6.161,
2011-05,5.993,
2011-06,5.962,
2011-07,6.149,
2011-08,6.654,
2011-09,6.893,
2011-10,6.827,
2011-11,6.921,
2011-12,7.238,
2012-01,7.397,
2012-02,6.764,
2012-03,7.498,
2012-04,7.001,
2012-05,7.089,
2012-06,6.599,
2012-07,7.118,
2012-08,6.189,
2012-09,6.626,
2012-10,6.565,
2012-11,6.516,
2012-12,6.188,
2013-01,7.974,
2013-02,7.026,
2013-03,7.273,
2013-04,7.628,
2013-05,8.271,
2013-06,8.394,
2013-07,8.381,
2013-08,7.718,
2013-09,6.763,
2013-10,6.850,
2013-11,7.811,
2013-12,6.425,
2014-01,5.971,
2014-02,6.113,
2014-03,6.551,
2014-04,6.574,
2014-05,9.240,
2014-06,5.966,
2014-07,6.502,
2014-08,6.554,
2014-09,6.563,
2014-10,6.494,
2014-11,7.098,
2014-12,6.433,
