"",BBK01.OEAM04V,BBK01.OEAM04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:34,
2002-01,1.762,
2002-04,1.880,
2002-07,2.211,
2002-10,2.026,
2003-01,1.426,
2003-04,1.129,
2003-07,1.345,
2003-10,1.866,
2004-01,1.352,
2004-04,1.228,
2004-07,1.096,
2004-10,1.896,
2005-01,1.597,
2005-04,1.835,
2005-07,1.622,
2005-10,1.631,
2006-01,1.463,
2006-04,1.788,
2006-07,1.583,
2006-10,1.687,
2007-01,1.566,
2007-04,1.760,
2007-07,1.455,
2007-10,2.277,
2008-01,2.125,
2008-04,2.021,
2008-07,2.004,
2008-10,2.018,
2009-01,1.111,
2009-04,1.065,
2009-07,0.901,
2009-10,1.160,
2010-01,0.852,
2010-04,1.075,
2010-07,0.998,
2010-10,1.129,
2011-01,1.055,
2011-04,1.064,
2011-07,1.566,
2011-10,1.660,
2012-01,1.769,
2012-04,1.973,
2012-07,2.107,
2012-10,2.154,
2013-01,2.299,
2013-04,2.006,
2013-07,2.434,
2013-10,2.533,
2014-01,2.041,
2014-04,2.573,
2014-07,2.608,
