"",BBK01.OEBM01V,BBK01.OEBM01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:20,
2002-01,1.071,
2002-04,0.981,
2002-07,1.109,
2002-10,1.188,
2003-01,0.909,
2003-04,1.002,
2003-07,0.953,
2003-10,1.238,
2004-01,0.877,
2004-04,0.890,
2004-07,0.842,
2004-10,1.059,
2005-01,1.010,
2005-04,1.002,
2005-07,0.972,
2005-10,1.058,
2006-01,0.990,
2006-04,1.224,
2006-07,1.389,
2006-10,1.097,
2007-01,1.181,
2007-04,1.327,
2007-07,1.201,
2007-10,1.325,
2008-01,1.554,
2008-04,1.605,
2008-07,1.602,
2008-10,1.962,
2009-01,2.452,
2009-04,2.648,
2009-07,2.604,
2009-10,2.346,
2010-01,2.074,
2010-04,2.033,
2010-07,2.256,
2010-10,1.953,
2011-01,2.203,
2011-04,2.052,
2011-07,2.806,
2011-10,2.951,
2012-01,3.114,
2012-04,2.738,
2012-07,2.420,
2012-10,2.546,
2013-01,2.470,
2013-04,2.693,
2013-07,2.537,
2013-10,2.558,
2014-01,2.132,
2014-04,2.481,
2014-07,2.961,
