"",BBK01.OEHB01O,BBK01.OEHB01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:17,
2002-01,31.303,
2002-04,31.492,
2002-07,31.758,
2002-10,31.742,
2003-01,31.937,
2003-04,32.190,
2003-07,32.432,
2003-10,32.554,
2004-01,32.717,
2004-04,32.815,
2004-07,33.046,
2004-10,32.884,
2005-01,33.218,
2005-04,33.306,
2005-07,33.605,
2005-10,33.874,
2006-01,33.871,
2006-04,33.939,
2006-07,34.026,
2006-10,34.202,
2007-01,34.266,
2007-04,34.317,
2007-07,34.332,
2007-10,34.446,
2008-01,34.411,
2008-04,34.511,
2008-07,34.725,
2008-10,34.891,
2009-01,34.811,
2009-04,35.035,
2009-07,35.270,
2009-10,35.494,
2010-01,35.743,
2010-04,36.130,
2010-07,36.608,
2010-10,36.757,
2011-01,36.811,
2011-04,37.155,
2011-07,37.417,
2011-10,37.652,
2012-01,37.959,
2012-04,38.368,
2012-07,38.637,
2012-10,39.005,
2013-01,39.381,
2013-04,39.519,
2013-07,39.512,
2013-10,39.524,
2014-01,39.584,
2014-04,39.593,
2014-07,39.755,
