"",BBK01.OEAF22S,BBK01.OEAF22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:56,
2002-01,0.314,
2002-04,0.315,
2002-07,0.313,
2002-10,0.310,
2003-01,0.304,
2003-04,0.300,
2003-07,0.300,
2003-10,0.299,
2004-01,0.293,
2004-04,0.295,
2004-07,0.301,
2004-10,0.301,
2005-01,0.307,
2005-04,0.314,
2005-07,0.315,
2005-10,0.312,
2006-01,0.313,
2006-04,0.313,
2006-07,0.313,
2006-10,0.312,
2007-01,0.310,
2007-04,0.301,
2007-07,0.303,
2007-10,0.292,
2008-01,0.288,
2008-04,0.289,
2008-07,0.288,
2008-10,0.283,
2009-01,0.281,
2009-04,0.282,
2009-07,0.289,
2009-10,0.283,
2010-01,0.286,
2010-04,0.303,
2010-07,0.341,
2010-10,0.338,
2011-01,0.338,
2011-04,0.342,
2011-07,0.349,
2011-10,0.344,
2012-01,0.344,
2012-04,0.349,
2012-07,0.397,
2012-10,0.395,
2013-01,0.394,
2013-04,0.397,
2013-07,0.402,
2013-10,0.394,
2014-01,0.398,
2014-04,0.409,
2014-07,0.424,
