"",BBFN1.M.DE.N.1.L.JP.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:48,
1972-12,0.008,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.008,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.049,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.038,
1976-01,0.026,
1976-02,0.018,
1976-03,0.020,
1976-04,0.021,
1976-05,0.024,
1976-06,0.027,
1976-07,0.029,
1976-08,0.029,
1976-09,0.028,
1976-10,0.025,
1976-11,0.024,
1976-12,0.019,
1977-01,0.022,
1977-02,0.019,
1977-03,0.023,
1977-04,0.021,
1977-05,0.024,
1977-06,0.029,
1977-07,0.026,
1977-08,0.027,
1977-09,0.027,
1977-10,0.030,
1977-11,0.032,
1977-12,0.031,
1978-01,0.033,
1978-02,0.023,
1978-03,0.021,
1978-04,0.024,
1978-05,0.013,
1978-06,0.014,
1978-07,0.014,
1978-08,0.019,
1978-09,0.024,
1978-10,0.027,
1978-11,0.027,
1978-12,0.030,
1979-01,0.026,
1979-02,0.020,
1979-03,0.020,
1979-04,0.018,
1979-05,0.016,
1979-06,0.017,
1979-07,0.017,
1979-08,0.017,
1979-09,0.021,
1979-10,0.027,
1979-11,0.027,
1979-12,0.030,
1980-01,0.030,
1980-02,0.029,
1980-03,0.036,
1980-04,0.037,
1980-05,0.038,
1980-06,0.037,
1980-07,0.035,
1980-08,0.046,
1980-09,0.056,
1980-10,0.052,
1980-11,0.062,
1980-12,0.067,
1981-01,0.085,
1981-02,0.088,
1981-03,0.100,
1981-04,0.100,
1981-05,0.092,
1981-06,0.100,
1981-07,0.107,
1981-08,0.097,
1981-09,0.099,
1981-10,0.097,
1981-11,0.055,
1981-12,0.067,
