"",BBK01.CEBE02,BBK01.CEBE02_FLAGS
"",short-term loans debtor: All sectors           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:31,
1991-01,321.9,
1991-04,337.7,
1991-07,338.8,
1991-10,350.3,
1992-01,347.5,
1992-04,361.7,
1992-07,351.6,
1992-10,354.2,
1993-01,348.3,
1993-04,347.1,
1993-07,345.2,
1993-10,350.8,
1994-01,343.3,
1994-04,343.3,
1994-07,342.7,
1994-10,362.1,
1995-01,369.7,
1995-04,382.5,
1995-07,378.5,
1995-10,387.7,
1996-01,393.4,
1996-04,409.6,
1996-07,402.7,
1996-10,432.0,
1997-01,450.7,
1997-04,449.5,
1997-07,450.9,
1997-10,460.7,
1998-01,473.0,
1998-04,482.0,
1998-07,493.5,
1998-10,486.2,
1999-01,523.1,
1999-04,536.2,
1999-07,530.4,
1999-10,554.6,
2000-01,580.5,
2000-04,610.3,
2000-07,583.7,
2000-10,573.7,
2001-01,678.2,
2001-04,648.3,
2001-07,634.4,
2001-10,602.7,
2002-01,626.4,
2002-04,595.7,
2002-07,627.4,
2002-10,606.7,
2003-01,639.1,
2003-04,612.9,
2003-07,620.4,
2003-10,622.4,
2004-01,662.4,
2004-04,602.6,
2004-07,642.6,
2004-10,623.8,
2005-01,644.3,
2005-04,629.4,
2005-07,657.8,
2005-10,649.9,
2006-01,661.3,
2006-04,653.7,
2006-07,693.8,
2006-10,634.7,
2007-01,690.3,
2007-04,703.5,
2007-07,736.7,
2007-10,750.3,
2008-01,830.0,
2008-04,821.2,
2008-07,840.3,
2008-10,805.7,
2009-01,850.1,
2009-04,871.5,
2009-07,831.7,
2009-10,795.6,
2010-01,832.7,
2010-04,919.1,
2010-07,937.9,
2010-10,1007.7,
2011-01,1002.4,
2011-04,1019.9,
2011-07,1165.2,
2011-10,1123.8,
2012-01,1317.5,
2012-04,1424.0,
2012-07,1403.0,
2012-10,1327.4,
2013-01,1282.0,
2013-04,1283.8,
2013-07,1134.6,
2013-10,1058.4,
2014-01,1038.4,
