"",BBK01.BJ9182,BBK01.BJ9182_FLAGS
"",National accounts - general government expenditure - interest expenditure (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:57,
1970,3330,
1971,3810,
1972,4500,
1973,5390,
1974,6520,
1975,7670,
1976,9610,
1977,10160,
1978,10680,
1979,12970,
1980,16180,
1981,20190,
1982,24040,
1983,26240,
1984,27400,
1985,28630,
1986,28170,
1987,28610,
1988,29840,
1989,31560,
1990,34350,
1991,41371,"Break, comment"
1992,52123,
1993,54691,
1994,59374,
1995,65300,
1996,65742,
1997,65599,
1998,66648,
1999,62791,
2000,66390,
2001,65510,
2002,65099,
2003,64850,
2004,63626,
2005,63622,
2006,65173,
2007,67164,
2008,68504,
2009,64838,
2010,63313,
2011,67142,Provisional value
2012,63163,Provisional value
2013,56327,Provisional value
2014,49774,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
