"",BBK01.CEFM0I,BBK01.CEFM0I_FLAGS
"",Currency  debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:38,
1999-01,70.9,
1999-04,71.1,
1999-07,71.1,
1999-10,74.5,
2000-01,72.4,
2000-04,72.4,
2000-07,71.7,
2000-10,71.6,
2001-01,67.1,
2001-04,63.3,
2001-07,54.3,
2001-10,23.1,
2002-01,28.2,
2002-04,39.1,
2002-07,48.3,
2002-10,52.9,
2003-01,61.0,
2003-04,66.8,
2003-07,72.2,
2003-10,75.5,
2004-01,81.3,
2004-04,87.2,
2004-07,93.7,
2004-10,98.0,
2005-01,100.1,
2005-04,103.0,
2005-07,104.0,
2005-10,105.5,
2006-01,106.1,
2006-04,108.3,
2006-07,108.6,
2006-10,110.1,
2007-01,109.0,
2007-04,107.7,
2007-07,104.5,
2007-10,106.0,
2008-01,101.9,
2008-04,100.8,
2008-07,97.5,
2008-10,104.4,
2009-01,102.9,
2009-04,102.9,
2009-07,102.2,
2009-10,106.5,
2010-01,106.2,
2010-04,105.9,
2010-07,104.9,
2010-10,107.0,
2011-01,104.8,
2011-04,104.9,
2011-07,103.3,
2011-10,104.5,
2012-01,102.1,
2012-04,102.9,
2012-07,102.0,
2012-10,104.4,
2013-01,107.1,
2013-04,111.4,
2013-07,115.2,
2013-10,115.2,
2014-01,120.5,
2014-04,124.0,
2014-07,128.0,
