"",BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:10,
1991-01,-0.008,
1991-04,-,Nothing exists
1991-07,-0.023,
1991-10,-0.008,
1992-01,0.005,
1992-04,-0.132,
1992-07,-0.014,
1992-10,-,Nothing exists
1993-01,0.005,
1993-04,-0.010,
1993-07,-0.065,
1993-10,-0.300,
1994-01,-0.064,
1994-04,-10.280,
1994-07,-10.061,
1994-10,-0.010,
1995-01,-0.112,
1995-04,-0.036,
1995-07,-2.407,
1995-10,-0.004,
1996-01,-0.041,
1996-04,-0.032,
1996-07,-0.028,
1996-10,-0.097,
1997-01,-0.007,
1997-04,-0.053,
1997-07,-0.012,
1997-10,0.009,
1998-01,-0.137,
1998-04,-0.187,
1998-07,-0.108,
1998-10,-0.175,
1999-01,-0.280,
1999-04,-3.340,
1999-07,-0.019,
1999-10,-0.033,
2000-01,-0.167,
2000-04,-0.014,
2000-07,-0.003,
2000-10,-0.030,
2001-01,-0.014,
2001-04,-0.015,
2001-07,1.032,
2001-10,1.006,
2002-01,-0.051,
2002-04,-,Nothing exists
2002-07,0.233,
2002-10,-0.016,
2003-01,-0.088,
2003-04,-0.012,
2003-07,-0.128,
2003-10,-0.180,
2004-01,-0.096,
2004-04,-,Nothing exists
2004-07,-0.083,
2004-10,-0.093,
2005-01,-0.588,
2005-04,-0.058,
2005-07,-0.020,
2005-10,-0.119,
2006-01,-0.037,
2006-04,-0.041,
2006-07,-,Nothing exists
2006-10,-0.116,
2007-01,-0.057,
2007-04,-0.734,
2007-07,-0.142,
2007-10,-,Nothing exists
2008-01,-0.128,
2008-04,-0.065,
2008-07,-0.048,
2008-10,-1.600,
2009-01,9.749,
2009-04,9.864,
2009-07,6.606,
2009-10,-0.052,
2010-01,-0.026,
2010-04,-0.048,
2010-07,-0.020,
2010-10,40.529,
2011-01,124.840,
2011-04,-0.147,
2011-07,-0.025,
2011-10,112.162,
2012-01,17.614,
2012-04,0.000,
2012-07,-,Nothing exists
2012-10,-0.020,
2013-01,24.001,
2013-04,102.980,
2013-07,309.921,
2013-10,91.053,
2014-01,15.113,Provisional value
2014-04,33.113,Provisional value
2014-07,-211.698,Provisional value
2014-10,-264.381,Provisional value
