"",BBK01.CELN09,BBK01.CELN09_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:51,
1999-01,-0.7,
1999-04,3.1,
1999-07,1.8,
1999-10,-1.6,
2000-01,6.6,
2000-04,-0.5,
2000-07,-1.7,
2000-10,2.7,
2001-01,4.4,
2001-04,-1.1,
2001-07,6.0,
2001-10,-2.6,
2002-01,-2.2,
2002-04,6.3,
2002-07,1.4,
2002-10,-3.9,
2003-01,7.1,
2003-04,5.1,
2003-07,0.1,
2003-10,-8.5,
2004-01,7.0,
2004-04,0.0,
2004-07,-2.7,
2004-10,-9.4,
2005-01,4.0,
2005-04,-0.5,
2005-07,-0.3,
2005-10,-1.4,
2006-01,-9.2,
2006-04,7.5,
2006-07,-9.8,
2006-10,9.9,
2007-01,-0.9,
2007-04,5.7,
2007-07,7.6,
2007-10,-11.1,
2008-01,3.8,
2008-04,-8.5,
2008-07,-7.0,
2008-10,4.4,
2009-01,-8.2,
2009-04,-6.1,
2009-07,-8.9,
2009-10,-4.4,
2010-01,-2.4,
2010-04,1.7,
2010-07,-0.5,
2010-10,-2.1,
2011-01,4.4,
2011-04,1.2,
2011-07,6.6,
2011-10,-2.7,
2012-01,-0.5,
2012-04,2.5,
2012-07,-1.4,
2012-10,-3.0,
2013-01,2.4,
2013-04,2.9,
2013-07,-2.3,
2013-10,-0.6,
2014-01,0.0,
2014-04,0.0,
2014-07,1.7,
