"",BBK01.OEYJ02S,BBK01.OEYJ02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:39,
2002-01,0.016,
2002-04,0.027,
2002-07,0.014,
2002-10,0.025,
2003-01,0.017,
2003-04,0.011,
2003-07,0.010,
2003-10,0.013,
2004-01,0.018,
2004-04,0.015,
2004-07,0.005,
2004-10,0.009,
2005-01,0.010,
2005-04,0.008,
2005-07,0.008,
2005-10,0.011,
2006-01,0.006,
2006-04,0.009,
2006-07,0.007,
2006-10,0.034,
2007-01,0.007,
2007-04,0.008,
2007-07,0.014,
2007-10,0.007,
2008-01,0.009,
2008-04,0.010,
2008-07,0.011,
2008-10,0.011,
2009-01,0.009,
2009-04,0.010,
2009-07,0.011,
2009-10,0.016,
2010-01,0.006,
2010-04,0.010,
2010-07,0.009,
2010-10,0.014,
2011-01,0.111,
2011-04,0.071,
2011-07,0.079,
2011-10,0.171,
2012-01,0.286,
2012-04,0.256,
2012-07,0.441,
2012-10,0.302,
2013-01,0.453,
2013-04,0.410,
2013-07,0.387,
2013-10,0.108,
2014-01,0.220,
2014-04,0.122,
2014-07,0.210,
