"",BBFN1.M.DE.N.1.A.W00200.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:25,
1994-11,.,No value available
1994-12,.,No value available
1995-01,181.106,
1995-02,180.103,
1995-03,182.238,
1995-04,184.712,
1995-05,186.679,
1995-06,186.748,
1995-07,186.220,
1995-08,181.143,
1995-09,183.402,
1995-10,185.465,
1995-11,184.570,
1995-12,168.623,
1996-01,175.376,
1996-02,178.185,
1996-03,185.330,
1996-04,189.995,
1996-05,194.777,
1996-06,188.060,
1996-07,182.090,
1996-08,177.911,
1996-09,181.425,
1996-10,184.681,
1996-11,190.442,
1996-12,186.994,
1997-01,202.927,
1997-02,210.849,
1997-03,215.591,
1997-04,220.650,
1997-05,216.910,
1997-06,212.649,
1997-07,212.161,
1997-08,200.013,
1997-09,204.139,
1997-10,205.877,
1997-11,203.050,
1997-12,192.504,
1998-01,207.683,
1998-02,217.495,
1998-03,232.612,
1998-04,240.424,
1998-05,243.759,
1998-06,230.016,
1998-07,226.460,
1998-08,217.855,
1998-09,230.041,
1998-10,229.808,
1998-11,229.199,
1998-12,213.314,
1999-01,208.643,
1999-02,218.802,
1999-03,229.770,
1999-04,239.779,
1999-05,247.263,
1999-06,250.781,
1999-07,240.848,
1999-08,238.395,
1999-09,239.343,
1999-10,237.729,
1999-11,243.700,
1999-12,229.575,
2000-01,238.730,
2000-02,250.642,
2000-03,274.843,
2000-04,276.055,
2000-05,285.626,
2000-06,282.570,
2000-07,272.157,
2000-08,284.007,
2000-09,274.071,
2000-10,278.730,
2000-11,275.065,
2000-12,262.284,
2001-01,283.509,
2001-02,299.246,
2001-03,322.916,
2001-04,320.187,
2001-05,321.682,
2001-06,319.541,
2001-07,310.891,
2001-08,300.979,
2001-09,299.531,
2001-10,304.740,
2001-11,297.031,
2001-12,298.904,
2002-01,306.469,
2002-02,311.316,
2002-03,307.458,
2002-04,315.132,
2002-05,309.861,
2002-06,298.934,
2002-07,296.769,
2002-08,295.240,
2002-09,303.460,
2002-10,308.378,
2002-11,298.754,
2002-12,278.074,
2003-01,300.255,
2003-02,307.106,
2003-03,317.745,
2003-04,328.236,
2003-05,326.809,
2003-06,321.418,
2003-07,328.338,
2003-08,315.104,
2003-09,321.010,
2003-10,323.058,
2003-11,322.049,
2003-12,310.454,
2004-01,330.120,
2004-02,328.049,
2004-03,336.333,
2004-04,331.384,
2004-05,338.346,
2004-06,346.430,
2004-07,347.417,
2004-08,344.270,
2004-09,353.798,
2004-10,352.862,
2004-11,348.110,
2004-12,335.809,
2005-01,341.733,
2005-02,345.860,
2005-03,361.754,
2005-04,355.923,
2005-05,355.273,
2005-06,356.114,
2005-07,357.124,
2005-08,353.381,
2005-09,371.231,
2005-10,373.515,
2005-11,374.184,
2005-12,362.704,
2006-01,369.434,
2006-02,384.066,
2006-03,392.876,
2006-04,396.019,
2006-05,394.294,
2006-06,393.500,
2006-07,386.569,
2006-08,390.407,
2006-09,400.550,
2006-10,407.353,
2006-11,409.302,
2006-12,396.649,
2007-01,409.442,
2007-02,418.297,
2007-03,432.774,
2007-04,431.709,
2007-05,434.125,
2007-06,440.667,
2007-07,443.191,
2007-08,441.435,
2007-09,450.301,
2007-10,470.266,
2007-11,472.349,
2007-12,452.354,
2008-01,468.782,
2008-02,473.920,
2008-03,486.439,
2008-04,492.766,
2008-05,491.044,
2008-06,487.900,
2008-07,493.313,
2008-08,486.988,
2008-09,503.621,
2008-10,505.710,
2008-11,505.800,
2008-12,489.430,
2009-01,489.567,
2009-02,489.297,
2009-03,513.981,
2009-04,510.026,
2009-05,506.826,
2009-06,510.736,
2009-07,506.011,
2009-08,506.357,
2009-09,513.555,
2009-10,527.478,
2009-11,532.401,
2009-12,531.796,
2010-01,522.997,
2010-02,533.432,
2010-03,552.702,
2010-04,562.101,
2010-05,570.078,
2010-06,578.513,
2010-07,586.781,
2010-08,593.422,
2010-09,601.955,
2010-10,611.474,
2010-11,618.770,
2010-12,598.167,
2011-01,622.207,
2011-02,619.628,
2011-03,624.008,
2011-04,620.897,
2011-05,642.011,
2011-06,632.135,
2011-07,642.661,
2011-08,657.281,
2011-09,668.167,
2011-10,659.316,
2011-11,652.069,
2011-12,615.925,
2012-01,639.522,
2012-02,641.586,
2012-03,655.930,
2012-04,643.529,
2012-05,655.424,
2012-06,674.725,
2012-07,670.077,
2012-08,655.741,
2012-09,674.946,
2012-10,663.527,
2012-11,676.087,
2012-12,653.244,
2013-01,674.344,
2013-02,681.124,
2013-03,696.238,
2013-04,704.237,
2013-05,701.357,
2013-06,718.443,
2013-07,690.079,
2013-08,681.293,
2013-09,701.056,
2013-10,694.477,
2013-11,700.030,
2013-12,689.637,
2014-01,690.184,
2014-02,695.837,
2014-03,725.144,
2014-04,718.900,
2014-05,738.805,
2014-06,731.591,
2014-07,722.437,
2014-08,732.412,
2014-09,745.290,
2014-10,733.979,
2014-11,736.260,
2014-12,712.638,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
