"",BBFN1.M.DE.N.1.L.KZ.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KZ.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Kazakhstan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:06,
1994-07,0.045,
1994-08,0.069,
1994-09,0.069,
1994-10,0.066,
1994-11,0.099,
1994-12,0.064,
1995-01,0.074,
1995-02,0.079,
1995-03,0.081,
1995-04,0.079,
1995-05,0.067,
1995-06,0.052,
1995-07,0.055,
1995-08,0.053,
1995-09,0.049,
1995-10,0.038,
1995-11,0.039,
1995-12,0.040,
1996-01,0.081,
1996-02,0.037,
1996-03,0.039,
1996-04,0.041,
1996-05,0.040,
1996-06,0.045,
1996-07,0.049,
1996-08,0.042,
1996-09,0.039,
1996-10,0.039,
1996-11,0.033,
1996-12,0.047,
1997-01,0.046,
1997-02,0.050,
1997-03,0.049,
1997-04,0.050,
1997-05,0.063,
1997-06,0.066,
1997-07,0.067,
1997-08,0.070,
1997-09,0.074,
1997-10,0.067,
1997-11,0.067,
1997-12,0.065,
1998-01,0.069,
1998-02,0.063,
1998-03,0.058,
1998-04,0.061,
1998-05,0.062,
1998-06,0.058,
1998-07,0.055,
1998-08,0.054,
1998-09,0.044,
1998-10,0.043,
1998-11,0.047,
1998-12,0.041,
1999-01,0.036,
1999-02,0.041,
1999-03,0.051,
1999-04,0.047,
1999-05,0.041,
1999-06,0.044,
1999-07,0.038,
1999-08,0.057,
1999-09,0.051,
1999-10,0.041,
1999-11,0.066,
1999-12,0.037,
2000-01,0.041,
2000-02,0.023,
2000-03,0.031,
2000-04,0.049,
2000-05,0.038,
2000-06,0.059,
2000-07,0.064,
2000-08,0.061,
2000-09,0.048,
2000-10,0.047,
2000-11,0.108,
2000-12,0.077,
2001-01,0.085,
2001-02,0.066,
2001-03,0.075,
2001-04,0.094,
2001-05,0.092,
2001-06,0.098,
2001-07,0.063,
2001-08,0.085,
2001-09,0.077,
2001-10,0.105,
2001-11,0.071,
2001-12,0.087,
2002-01,0.070,
2002-02,0.078,
2002-03,0.073,
2002-04,0.069,
2002-05,0.050,
2002-06,0.061,
2002-07,0.099,
2002-08,0.085,
2002-09,0.142,
2002-10,0.110,
2002-11,0.108,
2002-12,0.085,
2003-01,0.085,
2003-02,0.074,
2003-03,0.076,
2003-04,0.083,
2003-05,0.082,
2003-06,0.081,
2003-07,0.077,
2003-08,0.082,
2003-09,0.078,
2003-10,0.087,
2003-11,0.084,
2003-12,0.082,
2004-01,0.088,
2004-02,0.083,
2004-03,0.091,
2004-04,0.092,
2004-05,0.087,
2004-06,0.094,
2004-07,0.092,
2004-08,0.086,
2004-09,0.084,
2004-10,0.079,
2004-11,0.071,
2004-12,0.053,
2005-01,0.050,
2005-02,0.051,
2005-03,0.061,
2005-04,0.054,
2005-05,0.058,
2005-06,0.066,
2005-07,0.071,
2005-08,0.077,
2005-09,0.081,
2005-10,0.089,
2005-11,0.106,
2005-12,0.110,
2006-01,0.106,
2006-02,0.114,
2006-03,0.133,
2006-04,0.142,
2006-05,0.146,
2006-06,0.150,
2006-07,0.155,
2006-08,0.165,
2006-09,0.184,
2006-10,0.173,
2006-11,0.176,
2006-12,0.173,
2007-01,0.206,
2007-02,0.179,
2007-03,0.201,
2007-04,0.205,
2007-05,0.207,
2007-06,0.213,
2007-07,0.232,
2007-08,0.247,
2007-09,0.253,
2007-10,0.255,
2007-11,0.250,
2007-12,0.243,
2008-01,0.234,
2008-02,0.247,
2008-03,0.276,
2008-04,0.278,
2008-05,0.284,
2008-06,0.288,
2008-07,0.300,
2008-08,0.297,
2008-09,0.310,
2008-10,0.317,
2008-11,0.283,
2008-12,0.296,
2009-01,0.303,
2009-02,0.291,
2009-03,0.352,
2009-04,0.325,
2009-05,0.329,
2009-06,0.354,
2009-07,0.394,
2009-08,0.366,
2009-09,0.371,
2009-10,0.413,
2009-11,0.383,
2009-12,0.394,
2010-01,0.388,
2010-02,0.282,
2010-03,0.319,
2010-04,0.360,
2010-05,0.315,
2010-06,0.315,
2010-07,0.271,
2010-08,0.293,
2010-09,0.312,
2010-10,0.283,
2010-11,0.296,
2010-12,0.293,
2011-01,0.315,
2011-02,0.242,
2011-03,0.268,
2011-04,0.315,
2011-05,0.277,
2011-06,0.337,
2011-07,0.321,
2011-08,0.344,
2011-09,0.330,
2011-10,0.334,
2011-11,0.338,
2011-12,0.297,
2012-01,0.328,
2012-02,0.319,
2012-03,0.307,
2012-04,0.333,
2012-05,0.341,
2012-06,0.255,
2012-07,0.364,
2012-08,0.313,
2012-09,0.333,
2012-10,0.393,
2012-11,0.343,
2012-12,0.373,
2013-01,0.324,
2013-02,0.298,
2013-03,0.319,
2013-04,0.240,
2013-05,0.230,
2013-06,0.186,
2013-07,0.246,
2013-08,0.218,
2013-09,0.156,
2013-10,0.199,
2013-11,0.257,
2013-12,0.254,
2014-01,0.230,
2014-02,0.261,
2014-03,0.263,
2014-04,0.276,
2014-05,0.322,
2014-06,0.232,
2014-07,0.240,
2014-08,0.274,
2014-09,0.283,
2014-10,0.269,
2014-11,0.218,
2014-12,0.307,
