"",BBK01.OEHB17J,BBK01.OEHB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:34,
2002-01,3.722,
2002-04,3.754,
2002-07,3.774,
2002-10,3.770,
2003-01,3.789,
2003-04,3.809,
2003-07,3.856,
2003-10,3.888,
2004-01,3.854,
2004-04,3.857,
2004-07,3.874,
2004-10,3.890,
2005-01,4.417,
2005-04,4.450,
2005-07,4.494,
2005-10,4.470,
2006-01,4.427,
2006-04,4.345,
2006-07,4.326,
2006-10,4.331,
2007-01,4.272,
2007-04,4.252,
2007-07,4.248,
2007-10,4.217,
2008-01,4.171,
2008-04,4.148,
2008-07,4.126,
2008-10,4.103,
2009-01,4.058,
2009-04,4.052,
2009-07,3.414,
2009-10,3.408,
2010-01,3.375,
2010-04,3.369,
2010-07,3.367,
2010-10,3.364,
2011-01,3.347,
2011-04,3.360,
2011-07,3.379,
2011-10,3.364,
2012-01,3.349,
2012-04,3.347,
2012-07,3.361,
2012-10,3.377,
2013-01,3.358,
2013-04,3.370,
2013-07,3.392,
2013-10,3.399,
2014-01,3.398,
2014-04,3.428,
2014-07,3.383,
