"",BBK01.OEAH91L,BBK01.OEAH91L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:35,
2002-01,55.831,
2002-04,51.883,
2002-07,36.414,
2002-10,36.732,
2003-01,36.721,
2003-04,35.853,
2003-07,33.982,
2003-10,37.711,
2004-01,30.679,
2004-04,30.464,
2004-07,36.211,
2004-10,35.256,
2005-01,36.290,
2005-04,37.608,
2005-07,37.862,
2005-10,29.801,
2006-01,27.893,
2006-04,30.381,
2006-07,30.876,
2006-10,30.991,
2007-01,28.254,
2007-04,28.857,
2007-07,27.710,
2007-10,24.835,
2008-01,23.406,
2008-04,23.811,
2008-07,23.674,
2008-10,19.892,
2009-01,19.626,
2009-04,9.775,
2009-07,9.201,
2009-10,9.470,
2010-01,7.357,
2010-04,7.774,
2010-07,9.401,
2010-10,8.119,
2011-01,7.563,
2011-04,8.567,
2011-07,8.736,
2011-10,9.123,
2012-01,8.649,
2012-04,9.415,
2012-07,9.174,
2012-10,9.053,
2013-01,12.302,
2013-04,11.872,
2013-07,13.241,
2013-10,14.496,
2014-01,13.647,
2014-04,13.540,
2014-07,14.013,
