"",BBK01.OEBK02R,BBK01.OEBK02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:00,
2002-01,0.237,
2002-04,0.237,
2002-07,0.252,
2002-10,0.257,
2003-01,0.246,
2003-04,0.254,
2003-07,0.267,
2003-10,0.275,
2004-01,0.264,
2004-04,0.269,
2004-07,0.283,
2004-10,0.291,
2005-01,0.284,
2005-04,0.292,
2005-07,0.316,
2005-10,0.327,
2006-01,0.308,
2006-04,0.309,
2006-07,0.331,
2006-10,0.358,
2007-01,0.327,
2007-04,0.320,
2007-07,0.325,
2007-10,0.353,
2008-01,0.322,
2008-04,0.312,
2008-07,0.325,
2008-10,0.351,
2009-01,0.335,
2009-04,0.377,
2009-07,0.492,
2009-10,0.453,
2010-01,0.437,
2010-04,0.512,
2010-07,0.538,
2010-10,0.540,
2011-01,0.534,
2011-04,0.548,
2011-07,0.587,
2011-10,0.594,
2012-01,0.580,
2012-04,0.591,
2012-07,0.619,
2012-10,0.656,
2013-01,0.644,
2013-04,0.661,
2013-07,0.701,
2013-10,0.714,
2014-01,0.719,
2014-04,0.729,
2014-07,0.767,
