"",BBK01.OEAC33I,BBK01.OEAC33I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:06,
2002-01,0.049,
2002-04,0.036,
2002-07,0.036,
2002-10,0.059,
2003-01,0.038,
2003-04,0.046,
2003-07,0.042,
2003-10,0.038,
2004-01,0.039,
2004-04,0.032,
2004-07,0.033,
2004-10,0.114,
2005-01,0.064,
2005-04,0.059,
2005-07,0.053,
2005-10,0.050,
2006-01,0.040,
2006-04,0.051,
2006-07,0.039,
2006-10,0.045,
2007-01,0.047,
2007-04,0.037,
2007-07,0.035,
2007-10,0.034,
2008-01,0.057,
2008-04,0.060,
2008-07,0.045,
2008-10,0.125,
2009-01,0.131,
2009-04,0.115,
2009-07,0.203,
2009-10,0.249,
2010-01,0.248,
2010-04,0.261,
2010-07,0.296,
2010-10,0.311,
2011-01,0.396,
2011-04,0.373,
2011-07,0.386,
2011-10,0.339,
2012-01,0.352,
2012-04,0.352,
2012-07,0.323,
2012-10,0.328,
2013-01,0.303,
2013-04,0.300,
2013-07,0.268,
2013-10,0.279,
2014-01,0.200,
2014-04,0.179,
2014-07,0.170,
