"",BBK01.OEBI01P,BBK01.OEBI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:14,
2002-01,1.820,
2002-04,1.707,
2002-07,1.860,
2002-10,1.760,
2003-01,1.890,
2003-04,1.786,
2003-07,1.813,
2003-10,2.046,
2004-01,1.896,
2004-04,1.928,
2004-07,1.773,
2004-10,2.187,
2005-01,2.438,
2005-04,2.484,
2005-07,2.516,
2005-10,2.558,
2006-01,2.450,
2006-04,2.375,
2006-07,2.254,
2006-10,2.389,
2007-01,2.461,
2007-04,2.515,
2007-07,2.790,
2007-10,3.072,
2008-01,3.033,
2008-04,3.051,
2008-07,2.999,
2008-10,3.544,
2009-01,3.712,
2009-04,3.519,
2009-07,3.689,
2009-10,3.808,
2010-01,3.770,
2010-04,3.876,
2010-07,3.889,
2010-10,4.013,
2011-01,3.822,
2011-04,3.930,
2011-07,3.969,
2011-10,4.229,
2012-01,4.131,
2012-04,4.277,
2012-07,4.246,
2012-10,4.381,
2013-01,4.042,
2013-04,3.735,
2013-07,3.655,
2013-10,3.584,
2014-01,3.549,
2014-04,3.566,
2014-07,3.420,
