"",BBK01.OEBB10V,BBK01.OEBB10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:13,
2002-01,2.158,
2002-04,2.221,
2002-07,2.160,
2002-10,2.040,
2003-01,1.823,
2003-04,1.587,
2003-07,1.745,
2003-10,1.651,
2004-01,1.696,
2004-04,1.595,
2004-07,1.629,
2004-10,1.469,
2005-01,1.429,
2005-04,1.387,
2005-07,1.273,
2005-10,1.165,
2006-01,1.188,
2006-04,1.213,
2006-07,1.181,
2006-10,1.252,
2007-01,1.087,
2007-04,1.114,
2007-07,1.146,
2007-10,1.135,
2008-01,1.161,
2008-04,1.231,
2008-07,1.379,
2008-10,1.314,
2009-01,1.211,
2009-04,1.196,
2009-07,1.179,
2009-10,1.124,
2010-01,1.096,
2010-04,1.068,
2010-07,1.029,
2010-10,0.959,
2011-01,0.873,
2011-04,0.941,
2011-07,1.071,
2011-10,0.999,
2012-01,0.959,
2012-04,0.942,
2012-07,0.919,
2012-10,0.977,
2013-01,1.054,
2013-04,0.892,
2013-07,1.068,
2013-10,0.995,
2014-01,0.924,
2014-04,1.194,
2014-07,1.087,
