"",BBK01.OEBB02J,BBK01.OEBB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:58,
2002-01,1.599,
2002-04,1.736,
2002-07,1.783,
2002-10,1.699,
2003-01,1.597,
2003-04,1.562,
2003-07,1.554,
2003-10,1.340,
2004-01,1.348,
2004-04,1.386,
2004-07,1.265,
2004-10,1.164,
2005-01,1.281,
2005-04,1.248,
2005-07,1.326,
2005-10,1.247,
2006-01,1.305,
2006-04,1.329,
2006-07,1.327,
2006-10,1.411,
2007-01,1.478,
2007-04,1.513,
2007-07,1.567,
2007-10,1.501,
2008-01,1.481,
2008-04,1.583,
2008-07,1.605,
2008-10,1.526,
2009-01,1.496,
2009-04,1.454,
2009-07,1.416,
2009-10,1.409,
2010-01,1.423,
2010-04,1.545,
2010-07,1.563,
2010-10,1.601,
2011-01,1.705,
2011-04,1.832,
2011-07,1.847,
2011-10,1.871,
2012-01,1.938,
2012-04,2.107,
2012-07,2.324,
2012-10,2.132,
2013-01,2.299,
2013-04,2.006,
2013-07,2.021,
2013-10,2.228,
2014-01,2.304,
2014-04,2.308,
2014-07,2.200,
