"",BBK01.OEAD01M,BBK01.OEAD01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:06,
2002-01,12.126,
2002-04,11.791,
2002-07,11.027,
2002-10,10.387,
2003-01,10.503,
2003-04,10.345,
2003-07,10.119,
2003-10,9.594,
2004-01,9.473,
2004-04,9.386,
2004-07,9.344,
2004-10,8.887,
2005-01,8.906,
2005-04,8.693,
2005-07,8.721,
2005-10,8.198,
2006-01,8.438,
2006-04,8.554,
2006-07,8.530,
2006-10,8.677,
2007-01,8.698,
2007-04,8.685,
2007-07,8.408,
2007-10,9.210,
2008-01,9.132,
2008-04,9.196,
2008-07,9.370,
2008-10,9.008,
2009-01,9.507,
2009-04,9.504,
2009-07,9.180,
2009-10,8.931,
2010-01,9.648,
2010-04,9.232,
2010-07,9.323,
2010-10,8.699,
2011-01,9.176,
2011-04,9.041,
2011-07,9.123,
2011-10,9.185,
2012-01,9.281,
2012-04,9.222,
2012-07,9.349,
2012-10,9.111,
2013-01,9.224,
2013-04,9.071,
2013-07,9.097,
2013-10,9.002,
2014-01,8.916,
2014-04,8.882,
2014-07,8.650,
