"",BBK01.WXIF31,BBK01.WXIF31_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:53,
2009-09,6514,
2009-10,6560,
2009-11,6750,
2009-12,6636,
2010-01,6669,
2010-02,6797,
2010-03,6786,
2010-04,7122,
2010-05,7723,
2010-06,8076,
2010-07,8335,
2010-08,8310,
2010-09,8461,
2010-10,8227,
2010-11,7857,
2010-12,8367,
2011-01,8319,
2011-02,8160,
2011-03,8058,
2011-04,7889,
2011-05,7716,
2011-06,7943,
2011-07,8320,
2011-08,8865,
2011-09,9372,
2011-10,9264,
2011-11,8652,
2011-12,8559,
2012-01,8431,
2012-02,7861,
2012-03,7804,
2012-04,7844,
2012-05,8037,
2012-06,7915,
2012-07,7904,
2012-08,7883,
2012-09,7437,
2012-10,7248,
2012-11,6972,
2012-12,6996,
2013-01,6951,
2013-02,6936,
2013-03,6859,
2013-04,6953,
2013-05,6767,
2013-06,6484,
2013-07,6482,
2013-08,6398,
2013-09,6335,
2013-10,6161,
2013-11,6026,
2013-12,5798,
2014-01,5908,
2014-02,5995,
2014-03,5874,
2014-04,6153,
2014-05,5898,
2014-06,5877,
2014-07,5967,
2014-08,6036,
2014-09,5988,
2014-10,5967,
2014-11,6034,
