"",BBK01.OEAE20Q,BBK01.OEAE20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:25,
2002-01,0.259,
2002-04,0.258,
2002-07,0.268,
2002-10,0.227,
2003-01,0.223,
2003-04,0.235,
2003-07,0.232,
2003-10,0.245,
2004-01,0.231,
2004-04,0.123,
2004-07,0.116,
2004-10,0.143,
2005-01,0.125,
2005-04,0.128,
2005-07,0.116,
2005-10,0.106,
2006-01,0.117,
2006-04,0.123,
2006-07,0.122,
2006-10,0.149,
2007-01,0.147,
2007-04,0.146,
2007-07,0.141,
2007-10,0.157,
2008-01,0.135,
2008-04,0.146,
2008-07,0.147,
2008-10,0.151,
2009-01,0.218,
2009-04,0.233,
2009-07,0.238,
2009-10,0.269,
2010-01,0.409,
2010-04,0.387,
2010-07,0.339,
2010-10,0.291,
2011-01,0.277,
2011-04,0.240,
2011-07,0.148,
2011-10,0.148,
2012-01,0.140,
2012-04,0.144,
2012-07,0.147,
2012-10,0.187,
2013-01,0.172,
2013-04,0.176,
2013-07,0.148,
2013-10,0.168,
2014-01,0.168,
2014-04,0.176,
2014-07,0.162,
