"",BBK01.OEXB08P,BBK01.OEXB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:24,
2002-01,0.879,
2002-04,0.906,
2002-07,0.936,
2002-10,0.976,
2003-01,1.001,
2003-04,1.022,
2003-07,0.990,
2003-10,0.884,
2004-01,0.902,
2004-04,0.908,
2004-07,0.918,
2004-10,0.910,
2005-01,0.922,
2005-04,0.935,
2005-07,0.967,
2005-10,0.989,
2006-01,1.014,
2006-04,1.029,
2006-07,1.041,
2006-10,1.073,
2007-01,1.099,
2007-04,1.072,
2007-07,1.130,
2007-10,1.244,
2008-01,1.269,
2008-04,2.097,
2008-07,2.113,
2008-10,2.103,
2009-01,2.086,
2009-04,2.076,
2009-07,2.067,
2009-10,2.066,
2010-01,2.064,
2010-04,2.054,
2010-07,2.063,
2010-10,2.063,
2011-01,2.060,
2011-04,2.083,
2011-07,2.103,
2011-10,2.122,
2012-01,2.139,
2012-04,2.156,
2012-07,2.175,
2012-10,2.174,
2013-01,2.149,
2013-04,2.139,
2013-07,2.128,
2013-10,2.103,
2014-01,2.083,
2014-04,2.070,
2014-07,2.058,
