"",BBK01.OEAF39L,BBK01.OEAF39L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:24,
2002-01,0.197,
2002-04,0.193,
2002-07,0.209,
2002-10,0.202,
2003-01,0.220,
2003-04,0.226,
2003-07,0.236,
2003-10,0.216,
2004-01,0.216,
2004-04,0.208,
2004-07,0.213,
2004-10,0.209,
2005-01,0.202,
2005-04,0.203,
2005-07,0.199,
2005-10,0.218,
2006-01,0.222,
2006-04,0.259,
2006-07,0.262,
2006-10,0.267,
2007-01,0.264,
2007-04,0.247,
2007-07,0.279,
2007-10,0.265,
2008-01,0.256,
2008-04,0.261,
2008-07,0.223,
2008-10,0.164,
2009-01,0.160,
2009-04,0.155,
2009-07,0.147,
2009-10,0.142,
2010-01,0.143,
2010-04,0.146,
2010-07,0.144,
2010-10,0.140,
2011-01,0.137,
2011-04,0.135,
2011-07,0.130,
2011-10,0.135,
2012-01,0.133,
2012-04,0.133,
2012-07,0.130,
2012-10,0.133,
2013-01,0.129,
2013-04,0.142,
2013-07,0.137,
2013-10,0.136,
2014-01,0.142,
2014-04,0.141,
2014-07,0.142,
