"",BBEX3.M.AFN.USD.CA.AB.A01,BBEX3.M.AFN.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Afghanistan / USD 1 = AFN ... (selling),
unit,AFN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:33,
2005-07,49.8100,
2005-08,49.3500,
2005-09,49.0500,
2005-10,48.8000,
2005-11,49.9700,
2005-12,50.4600,
2006-01,50.3900,
2006-02,49.9000,
2006-03,50.0100,
2006-04,49.9100,
2006-05,49.8500,
2006-06,50.1700,
2006-07,50.0900,
2006-08,50.1000,
2006-09,50.1400,
2006-10,49.9700,
2006-11,49.9200,
2006-12,49.9600,
2007-01,50.1200,
2007-02,50.1100,
2007-03,50.2400,
2007-04,50.3100,
2007-05,50.1000,
2007-06,49.8600,
2007-07,49.9400,
2007-08,49.9300,
2007-09,49.8800,
2007-10,50.0100,
2007-11,49.9600,
2007-12,49.7200,
2008-01,49.5900,
2008-02,49.5300,
2008-03,50.1000,
2008-04,50.0900,
2008-05,49.8100,comment
2008-06,50.0800,
2008-07,50.1200,
2008-08,50.3700,
2008-09,50.2100,
2008-10,51.8600,
2008-11,52.3000,
2008-12,52.1400,
2009-01,52.3100,
2009-02,52.4400,
2009-03,51.2900,comment
2009-04,49.9100,
2009-05,50.1400,
2009-06,50.2000,
2009-07,49.7100,
2009-08,50.0500,
2009-09,49.7000,
2009-10,49.3100,
2009-11,48.5500,
2009-12,48.6000,
2010-01,47.4800,
2010-02,47.6500,
2010-03,48.4000,
2010-04,47.1800,
2010-05,46.5800,
2010-06,46.0500,
2010-07,46.3100,
2010-08,45.5200,
2010-09,45.1200,
2010-10,45.2200,
2010-11,45.2300,
2010-12,45.8100,
2011-01,45.3300,
2011-02,45.3000,
2011-03,45.3244,
2011-04,45.6000,
2011-05,46.6100,
2011-06,45.4000,
2011-07,47.2300,
2011-08,47.1900,
2011-09,48.4400,
2011-10,48.2100,
2011-11,48.3300,
2011-12,49.3600,
2012-01,49.3700,
2012-02,49.4300,
2012-03,50.0700,
2012-04,49.9900,
2012-05,50.2500,
2012-06,51.7900,
2012-07,51.8800,
2012-08,51.4800,
2012-09,52.1000,
2012-10,52.9800,
2012-11,51.3100,
2012-12,52.1300,
2013-01,51.8500,
2013-02,52.9200,
2013-03,54.1600,
2013-04,55.0000,
2013-05,55.3900,
2013-06,56.3900,
2013-07,55.3500,
2013-08,56.6300,
2013-09,57.4900,
2013-10,57.6800,
2013-11,58.2400,
2013-12,56.0600,
2014-01,57.1100,
2014-02,57.4800,
2014-03,57.7100,
2014-04,57.3800,
2014-05,57.6600,
2014-06,57.9900,
2014-07,56.4600,
2014-08,57.1300,
2014-09,56.9300,
2014-10,57.8500,
2014-11,57.8900,
2014-12,58.3700,
2015-01,57.3900,
"","Source: Da Afghanistan Bank, Kabul.",
"",Comment on 2008-05: Exchange rate as of 1 June 2008.,
"",Comment on 2009-03: Exchange rate as of 23 March 2009.,
