"",BBK01.CEB2X0,BBK01.CEB2X0_FLAGS
"",Currency and deposits debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:22,
1997-10,1.0,
1998-01,1.3,
1998-04,0.6,
1998-07,0.7,
1998-10,0.7,
1999-01,0.6,
1999-04,1.2,
1999-07,0.7,
1999-10,0.7,
2000-01,0.8,
2000-04,1.4,
2000-07,0.9,
2000-10,1.2,
2001-01,1.4,
2001-04,1.0,
2001-07,1.2,
2001-10,1.2,
2002-01,1.5,
2002-04,0.9,
2002-07,0.8,
2002-10,1.0,
2003-01,0.7,
2003-04,3.5,
2003-07,2.6,
2003-10,2.8,
2004-01,2.9,
2004-04,3.0,
2004-07,3.1,
2004-10,2.6,
2005-01,3.0,
2005-04,2.8,
2005-07,3.0,
2005-10,2.6,
2006-01,3.8,
2006-04,4.0,
2006-07,3.1,
2006-10,3.4,
2007-01,4.6,
2007-04,4.4,
2007-07,3.5,
2007-10,5.8,
2008-01,4.3,
2008-04,6.2,
2008-07,11.7,
2008-10,11.4,
2009-01,9.5,
2009-04,8.6,
2009-07,7.6,
2009-10,5.8,
2010-01,5.1,
2010-04,7.6,
2010-07,7.3,
2010-10,8.1,
2011-01,7.3,
2011-04,7.2,
2011-07,18.8,
2011-10,16.2,
2012-01,16.6,
2012-04,20.1,
2012-07,20.5,
2012-10,21.9,
2013-01,19.0,
2013-04,19.9,
2013-07,20.0,
2013-10,19.6,
2014-01,22.7,
