"",BBK01.OEYJ05L,BBK01.OEYJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:57,
2002-01,66.592,
2002-04,65.748,
2002-07,65.410,
2002-10,65.652,
2003-01,65.254,
2003-04,64.275,
2003-07,66.460,
2003-10,65.842,
2004-01,65.859,
2004-04,67.043,
2004-07,67.521,
2004-10,67.098,
2005-01,67.088,
2005-04,65.856,
2005-07,66.387,
2005-10,64.148,
2006-01,64.457,
2006-04,63.608,
2006-07,62.293,
2006-10,60.750,
2007-01,58.375,
2007-04,57.033,
2007-07,55.684,
2007-10,53.972,
2008-01,53.225,
2008-04,52.723,
2008-07,60.310,
2008-10,59.875,
2009-01,60.403,
2009-04,59.911,
2009-07,51.086,
2009-10,49.517,
2010-01,47.871,
2010-04,46.939,
2010-07,46.853,
2010-10,46.015,
2011-01,45.677,
2011-04,44.615,
2011-07,43.604,
2011-10,42.672,
2012-01,41.414,
2012-04,40.391,
2012-07,39.354,
2012-10,37.929,
2013-01,36.682,
2013-04,36.054,
2013-07,36.859,
2013-10,35.872,
2014-01,34.315,
2014-04,33.852,
2014-07,33.360,
