"",BBDA1.M.DE.N.EX.S.A.ESXES1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.ESXES1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Spain excluding Ceuta and Melilla / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:18,
1990-07,1052933,
1990-08,828369,
1990-09,901838,
1990-10,1129655,
1990-11,1071484,
1990-12,861680,
1991-01,1097342,
1991-02,1084794,
1991-03,1107535,
1991-04,1132421,
1991-05,1158112,
1991-06,1165481,
1991-07,1240259,
1991-08,939005,
1991-09,1082734,
1991-10,1325394,
1991-11,1323534,
1991-12,1126485,
1992-01,1237974,
1992-02,1263923,
1992-03,1446854,
1992-04,1346922,
1992-05,1205115,
1992-06,1202782,
1992-07,1293056,
1992-08,928848,
1992-09,1197212,
1992-10,1151292,
1992-11,1037913,
1992-12,935956,
1993-01,797202,
1993-02,1029066,
1993-03,960551,
1993-04,915996,
1993-05,923246,
1993-06,900637,
1993-07,847972,
1993-08,657722,
1993-09,825245,
1993-10,936724,
1993-11,1014905,
1993-12,850476,
1994-01,793214,
1994-02,869931,
1994-03,1023051,
1994-04,927724,
1994-05,982554,
1994-06,1070266,
1994-07,909592,
1994-08,711076,
1994-09,976374,
1994-10,964585,
1994-11,1021249,
1994-12,1094473,
1995-01,1077463,
1995-02,1111409,
1995-03,1209522,
1995-04,1014616,
1995-05,1203246,
1995-06,1286656,
1995-07,1061184,
1995-08,875414,
1995-09,1177719,
1995-10,1155618,
1995-11,1140671,
1995-12,1032303,
1996-01,1205565,
1996-02,1203825,
1996-03,1309695,
1996-04,1245521,
1996-05,1270133,
1996-06,1227829,
1996-07,1329691,
1996-08,974226,
1996-09,1091458,
1996-10,1353648,
1996-11,1352640,
1996-12,1242194,
1997-01,1278069,
1997-02,1350602,
1997-03,1286494,
1997-04,1394053,
1997-05,1449282,
1997-06,1554377,
1997-07,1487533,
1997-08,1119933,
1997-09,1450805,
1997-10,1564774,
1997-11,1558361,
1997-12,1414611,
1998-01,1542023,
1998-02,1591334,
1998-03,1657014,
1998-04,1683235,
1998-05,1614146,
1998-06,1763813,
1998-07,1835005,
1998-08,1306888,
1998-09,1561632,
1998-10,1802068,
1998-11,1730819,
1998-12,1573261,
1999-01,1615800,
1999-02,1676009,
1999-03,1804349,
1999-04,1923732,
1999-05,1936458,
1999-06,2105323,
1999-07,2053977,
1999-08,1548784,
1999-09,1904034,
1999-10,1993370,
1999-11,2280461,
1999-12,1841761,
2000-01,1982147,
2000-02,2121175,
2000-03,2389522,
2000-04,2096437,
2000-05,2451806,
2000-06,2333440,
2000-07,2266502,
2000-08,1692577,
2000-09,2119629,
2000-10,2556695,
2000-11,2589731,
2000-12,2132214,
2001-01,2282767,
2001-02,2354773,
2001-03,2424481,
2001-04,2366261,
2001-05,2348732,
2001-06,2410617,
2001-07,2610427,
2001-08,2066952,
2001-09,2140363,
2001-10,2380750,
2001-11,2354705,
2001-12,2100053,
2002-01,2235515,
2002-02,2258332,
2002-03,2255933,
2002-04,2506618,
2002-05,2385696,
2002-06,2794000,
2002-07,2641435,
2002-08,1983451,
2002-09,2399339,
2002-10,2708440,
2002-11,2930606,
2002-12,2336505,
2003-01,2441124,
2003-02,2620546,
2003-03,2820814,
2003-04,2600623,
2003-05,2722127,
2003-06,2666158,
2003-07,2811674,
2003-08,2106206,
2003-09,2788862,
2003-10,2995130,
2003-11,3165402,
2003-12,2625381,
2004-01,2827427,
2004-02,2806024,
2004-03,3142162,
2004-04,3084892,
2004-05,3214297,
2004-06,3155670,
2004-07,3134030,
2004-08,2433025,
2004-09,3005277,
2004-10,3202171,
2004-11,3485516,
2004-12,2758237,
2005-01,3065633,
2005-02,3143251,
2005-03,3390943,
2005-04,3420715,
2005-05,3428815,
2005-06,3737356,
2005-07,3409725,
2005-08,2749530,
2005-09,3339568,
2005-10,3623148,
2005-11,3684360,
2005-12,3024699,
2006-01,3234285,
2006-02,3306038,
2006-03,3702482,
2006-04,3286928,
2006-05,3528410,
2006-06,3733533,
2006-07,3479923,
2006-08,2873533,
2006-09,3571455,
2006-10,3937080,
2006-11,3839049,
2006-12,3281928,
2007-01,3862473,
2007-02,3798486,
2007-03,4220206,
2007-04,3877880,
2007-05,4031950,
2007-06,4289486,
2007-07,4182292,
2007-08,3272212,
2007-09,3901030,
2007-10,4326943,
2007-11,4401550,
2007-12,3466893,
2008-01,4008574,
2008-02,3968095,
2008-03,3888491,
2008-04,4254090,
2008-05,3906264,
2008-06,3926186,
2008-07,3832499,
2008-08,2695653,
2008-09,3469093,
2008-10,3549172,
2008-11,2876994,
2008-12,2300950,
2009-01,2429644,
2009-02,2452100,
2009-03,2826714,
2009-04,2445258,
2009-05,2427148,
2009-06,2591184,
2009-07,2621788,
2009-08,2072348,
2009-09,2944810,
2009-10,3025716,
2009-11,2858909,
2009-12,2584883,
2010-01,2629946,
2010-02,2729733,
2010-03,3281142,
2010-04,2933925,
2010-05,2886587,
2010-06,3056287,
2010-07,2842316,
2010-08,2240055,
2010-09,2932292,
2010-10,2949432,
2010-11,3058216,
2010-12,2682108,
2011-01,2825407,
2011-02,2950596,
2011-03,3420262,
