"",BBK01.CELC01,BBK01.CELC01_FLAGS
"",Financial derivatives and employee stock options debtor: Total                           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:34,
1999-01,0.1,
1999-04,0.1,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.2,
2000-10,0.2,
2001-01,0.1,
2001-04,0.1,
2001-07,0.2,
2001-10,0.2,
2002-01,0.1,
2002-04,-5.7,
2002-07,1.1,
2002-10,-1.0,
2003-01,3.8,
2003-04,-2.6,
2003-07,3.1,
2003-10,-1.9,
2004-01,3.5,
2004-04,-8.2,
2004-07,4.0,
2004-10,-2.6,
2005-01,-0.2,
2005-04,2.7,
2005-07,9.2,
2005-10,1.5,
2006-01,8.5,
2006-04,5.3,
2006-07,3.8,
2006-10,9.0,
2007-01,4.0,
2007-04,10.9,
2007-07,0.3,
2007-10,-16.8,
2008-01,5.2,
2008-04,8.2,
2008-07,-6.3,
2008-10,-52.6,
2009-01,-21.4,
2009-04,29.5,
2009-07,1.9,
2009-10,-8.2,
2010-01,-3.5,
2010-04,-8.6,
2010-07,-12.3,
2010-10,24.8,
2011-01,-9.6,
2011-04,1.0,
2011-07,-3.1,
2011-10,-1.8,
2012-01,-1.7,
2012-04,0.3,
2012-07,0.4,
2012-10,1.7,
2013-01,1.9,
2013-04,2.4,
2013-07,1.6,
2013-10,0.6,
2014-01,-2.6,
2014-04,-0.2,
2014-07,-0.1,
