"",BBSF2.M.1.S.00000.SON01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Sales receipts / Not defined / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:55,
2009-09,623,
2009-10,480,
2009-11,1733,
2009-12,544,
2010-01,557,
2010-02,39,
2010-03,380,
2010-04,90,
2010-05,360,
2010-06,53,
2010-07,529,
2010-08,221,
2010-09,117,
2010-10,203,
2010-11,109,
2010-12,486,
2011-01,32,
2011-02,171,
2011-03,62,
2011-04,159,
2011-05,174,
2011-06,183,
2011-07,80,
2011-08,1485,
2011-09,39,
2011-10,104,
2011-11,124,
2011-12,218,
2012-01,133,
2012-02,154,
2012-03,258,
2012-04,104,
2012-05,90,
2012-06,28,
2012-07,237,
2012-08,632,
2012-09,242,
2012-10,136,
2012-11,103,
2012-12,466,
2013-01,175,
2013-02,105,
2013-03,466,
2013-04,1013,
2013-05,479,
2013-06,80,
2013-07,423,
2013-08,127,
2013-09,467,
2013-10,46,
2013-11,200,
2013-12,636,
2014-01,322,
2014-02,649,
2014-03,408,
2014-04,129,
2014-05,254,
2014-06,314,
2014-07,625,
2014-08,250,
2014-09,299,
2014-10,283,
2014-11,658,
