"",BBK01.OEAC15S,BBK01.OEAC15S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:14,
2002-01,0.976,
2002-04,0.980,
2002-07,0.960,
2002-10,0.929,
2003-01,0.951,
2003-04,0.936,
2003-07,0.920,
2003-10,0.886,
2004-01,0.895,
2004-04,0.881,
2004-07,0.860,
2004-10,0.830,
2005-01,0.820,
2005-04,0.799,
2005-07,0.771,
2005-10,0.751,
2006-01,0.757,
2006-04,0.744,
2006-07,0.702,
2006-10,0.686,
2007-01,0.698,
2007-04,0.689,
2007-07,0.687,
2007-10,0.683,
2008-01,0.688,
2008-04,0.686,
2008-07,0.682,
2008-10,0.674,
2009-01,0.690,
2009-04,0.693,
2009-07,0.687,
2009-10,0.672,
2010-01,0.688,
2010-04,0.697,
2010-07,0.688,
2010-10,0.682,
2011-01,0.690,
2011-04,0.690,
2011-07,0.685,
2011-10,0.678,
2012-01,0.690,
2012-04,0.690,
2012-07,0.685,
2012-10,0.673,
2013-01,0.697,
2013-04,0.697,
2013-07,0.695,
2013-10,0.685,
2014-01,0.685,
2014-04,0.688,
2014-07,0.678,
