"",BBK01.OEXB01P,BBK01.OEXB01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:21,
2002-01,1.194,
2002-04,1.225,
2002-07,1.248,
2002-10,1.272,
2003-01,1.296,
2003-04,1.325,
2003-07,1.194,
2003-10,1.078,
2004-01,1.089,
2004-04,1.091,
2004-07,1.100,
2004-10,1.087,
2005-01,1.100,
2005-04,1.117,
2005-07,1.155,
2005-10,1.177,
2006-01,1.205,
2006-04,1.221,
2006-07,1.237,
2006-10,1.271,
2007-01,1.298,
2007-04,1.266,
2007-07,1.325,
2007-10,1.438,
2008-01,1.458,
2008-04,2.288,
2008-07,2.303,
2008-10,2.295,
2009-01,2.279,
2009-04,2.273,
2009-07,2.261,
2009-10,2.254,
2010-01,2.248,
2010-04,2.250,
2010-07,2.257,
2010-10,2.253,
2011-01,2.247,
2011-04,2.264,
2011-07,2.287,
2011-10,2.294,
2012-01,2.307,
2012-04,2.326,
2012-07,2.345,
2012-10,2.342,
2013-01,2.390,
2013-04,2.373,
2013-07,2.365,
2013-10,2.347,
2014-01,2.313,
2014-04,2.304,
2014-07,2.289,
