"",BBSF2.M.1.T.00000.REN01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.REN01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Bonds funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:24,
2009-09,9337,
2009-10,8657,
2009-11,8117,
2009-12,7541,
2010-01,8389,
2010-02,8536,
2010-03,8093,
2010-04,7651,
2010-05,7961,
2010-06,7934,
2010-07,8609,
2010-08,7649,
2010-09,8353,
2010-10,8482,
2010-11,9178,
2010-12,8371,
2011-01,9372,
2011-02,9729,
2011-03,9306,
2011-04,9961,
2011-05,8622,
2011-06,8397,
2011-07,10720,
2011-08,11202,
2011-09,11373,
2011-10,12501,
2011-11,12330,
2011-12,11353,
2012-01,11940,
2012-02,11784,
2012-03,11334,
2012-04,11227,
2012-05,11673,
2012-06,13004,
2012-07,12585,
2012-08,11629,
2012-09,11344,
2012-10,11532,
2012-11,11046,
2012-12,10726,
2013-01,10830,
2013-02,10866,
2013-03,10584,
2013-04,10352,
2013-05,9732,
2013-06,10463,
2013-07,10161,
2013-08,10198,
2013-09,10302,
2013-10,11664,
2013-11,10463,
2013-12,10122,
2014-01,10365,
2014-02,10149,
2014-03,9296,
2014-04,9651,
2014-05,9040,
2014-06,9253,
2014-07,9555,
2014-08,9389,
2014-09,9342,
2014-10,9136,
2014-11,9164,
