"",BBK01.OEAH37O,BBK01.OEAH37O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:01,
2002-01,0.052,
2002-04,0.044,
2002-07,0.046,
2002-10,0.056,
2003-01,0.053,
2003-04,0.044,
2003-07,0.043,
2003-10,0.055,
2004-01,0.056,
2004-04,0.068,
2004-07,0.069,
2004-10,0.085,
2005-01,0.066,
2005-04,0.083,
2005-07,0.080,
2005-10,0.081,
2006-01,0.074,
2006-04,0.077,
2006-07,0.105,
2006-10,0.112,
2007-01,0.129,
2007-04,0.128,
2007-07,0.139,
2007-10,0.143,
2008-01,0.143,
2008-04,0.150,
2008-07,0.156,
2008-10,0.167,
2009-01,0.153,
2009-04,0.157,
2009-07,0.150,
2009-10,0.171,
2010-01,0.165,
2010-04,0.113,
2010-07,0.118,
2010-10,0.154,
2011-01,0.123,
2011-04,0.148,
2011-07,0.143,
2011-10,0.170,
2012-01,0.148,
2012-04,0.141,
2012-07,0.141,
2012-10,0.128,
2013-01,0.133,
2013-04,0.124,
2013-07,0.140,
2013-10,0.132,
2014-01,0.178,
2014-04,0.167,
2014-07,0.173,
