"",BBK01.OEHL01U,BBK01.OEHL01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:32,
2002-01,12.054,
2002-04,11.960,
2002-07,11.928,
2002-10,12.218,
2003-01,12.258,
2003-04,12.182,
2003-07,12.181,
2003-10,12.398,
2004-01,12.416,
2004-04,12.361,
2004-07,12.264,
2004-10,12.497,
2005-01,12.460,
2005-04,12.353,
2005-07,12.234,
2005-10,12.448,
2006-01,12.495,
2006-04,12.397,
2006-07,12.347,
2006-10,12.469,
2007-01,12.450,
2007-04,12.421,
2007-07,12.433,
2007-10,12.653,
2008-01,12.514,
2008-04,12.410,
2008-07,12.299,
2008-10,12.627,
2009-01,12.648,
2009-04,12.641,
2009-07,12.694,
2009-10,12.983,
2010-01,13.111,
2010-04,13.194,
2010-07,13.236,
2010-10,13.495,
2011-01,13.466,
2011-04,13.441,
2011-07,13.431,
2011-10,13.595,
2012-01,13.623,
2012-04,13.678,
2012-07,13.728,
2012-10,13.953,
2013-01,14.001,
2013-04,14.033,
2013-07,14.023,
2013-10,14.202,
2014-01,14.263,
2014-04,14.327,
2014-07,14.383,
